user;PR;comments;coments_review;commit;changed_files;add_lines;delete_lines
jansoe;573;11;3;0;0;0;0
jansoe;243;14;0;0;0;0;0
diogojc;348;16;29;0;0;0;0
bvtrach;429;2;0;2;3;2;2
cavorite;459;1;0;1;2;15;2
chermes;476;5;1;17;6;354;1
gwtaylor;563;2;0;5;3;85;2
leonpalafox;645;4;0;1;1;1;1
fcostin;650;23;13;9;3;125;40
schwarty;2561;16;2;3;3;45;6
schwarty;2207;7;13;5;1;63;23
schwarty;1982;1;0;1;1;1;1
schwarty;1060;32;15;13;2;70;39
schwarty;687;34;25;12;5;203;2
smoitra87;689;10;3;16;26;121;97
joonazzz;775;16;8;3;3;126;7
BenoitDamota;816;17;0;0;0;0;0
grenoya;827;1;0;0;0;0;0
tobigue;915;12;0;0;0;0;0
sgenoud;941;38;17;14;5;404;5
cricketsong;987;20;3;17;4;136;6
cjauvin;1087;23;1;4;2;30;6
ephes;5122;12;0;18;35;58672;52811
ephes;1135;36;7;1;1;124;75
ephes;1125;16;3;4;3;38;1
ephes;1124;1;0;3;3;374;1
ephes;1122;15;0;2;1;343;1
briancheung;1436;2;0;26;1;1;1
briancheung;1165;23;39;22;2;227;33
ynd;1200;136;124;66;9;684;0
guyrt;1286;9;1;5;4;8;5
coreylynch;1334;28;5;2;4;7132;48
coreylynch;1297;16;1;8;2;5;4
v3ss0n;1339;19;0;1;1;127;0
v3ss0n;1338;25;0;2;2;131;0
omangin;1348;26;0;13;7;668;47
pzc;1375;6;0;62;55;839;347
sjackman;1402;3;0;1;1;4;2
MarkyV;1502;1;0;3;10;105;103
MarkyV;1448;6;5;48;201;1907;1635
sdicker8;1497;24;1;3;3;46;23
bcajes;1516;11;2;7;1;69;0
bcajes;1498;7;2;2;1;70;2
yedtoss;1503;25;4;8;4;528;1
wrichert;1735;15;17;9;3;174;38
wrichert;1537;14;3;29;112;989;14251
mluessi;1583;49;7;6;4;468;9
RONNCC;1594;3;0;1;1;13;1
JohnFNovak;1611;28;21;26;2;70;16
basvandenberg;1623;4;0;0;0;0;0
basvandenberg;1620;3;0;0;0;0;0
dmollaaliod;1640;8;0;2;2;8;3
aflag;1682;3;0;1;1;23;21
dclambert;1714;6;47;0;0;0;0
archipleago-creature;1738;2;0;1;1;4;2
gatagat;3338;8;0;3;2;36;1
gatagat;1746;6;0;1;2;10;1
lqdc;1895;4;0;0;0;0;0
lqdc;1821;14;7;0;0;0;0
lqdc;1776;47;14;0;0;0;0
JakeMick;1786;8;0;5;2;24;6
yanirs;1806;29;0;1;1;15;10
flxb;1847;4;0;2;2;15;2
seamusabshere;1849;8;0;1;2;34;5
kevinhughes27;1885;27;6;5;6;771;0
kevinhughes27;1861;5;6;2;1;22;3
stevekochscience;1866;2;0;1;1;3;2
luoq;1867;18;41;17;11;726;856
johnb30;1889;6;0;1;1;85;0
abhirk;1928;3;0;1;1;50;30
arnaudsj;1949;10;2;1;7;1563;1
jmmcd;1969;1;0;1;1;3;3
dashesy;2340;7;19;7;2;686;6
dashesy;1970;13;1;2;1;10;2
nzer0;2026;1;0;1;1;2;2
andreas-hjortgaard;2030;2;4;4;4;52;6
IssamLaradji;3204;145;157;41;14;2619;3
IssamLaradji;2680;4;0;2;2;340;77
IssamLaradji;2120;207;285;38;13;2139;2
IssamLaradji;2099;25;7;13;4;532;0
rspeer;2112;3;3;3;3;220;17
rspeer;2106;3;0;4;2;76;7
ccoovrey;2143;1;1;0;0;0;0
ccoovrey;2117;5;0;0;0;0;0
cleverless;2151;43;18;1;5;155;15
jzwinck;2158;1;0;0;0;0;0
har777;2177;1;0;1;1;2;2
sturlamolden;2313;5;0;1;1;7;7
sturlamolden;2283;14;10;2;2;3;1
jcrudy;2285;65;4;23;49;69825;5
kpysniak;3751;0;0;1;1;13;6
kpysniak;2355;22;16;5;2;62;4
kpysniak;2347;6;10;4;2;108;0
kpysniak;2341;5;1;3;1;39;0
alemagnani;2357;2;3;3;2;22;1
maciejkula;6188;9;2;1;2;23;7
maciejkula;2388;16;0;1;1;3;0
cournape;2405;3;0;1;1;1;1
schmee;2413;2;0;1;1;8;1
honnix;2421;1;0;2;2;8;5
paulgb;2471;3;0;2;2;4;1
flukeskywalker;2478;2;7;1;2;26;1
jfelectron;2545;19;12;11;3;62;3
AndreaBravi;2547;11;18;10;5;290;5
hadsed;2549;3;11;6;3;93;21
romaniukm;2795;51;59;2;5;199;90
romaniukm;2587;18;8;1;2;100;9
bdkearns;2595;1;0;0;0;0;0
whoisnanli;2599;1;2;7;4;872;4
craigdsthompson;2607;16;8;9;2;42;4
ilblackdragon;2616;4;4;1;1;10;3
czxcjx;2635;5;0;2;1;4;0
Melevir;2658;3;0;1;8;1;2277
simomo;2677;2;0;0;0;0;0
arpangarg;2687;8;4;4;2;69;21
HapeMask;2784;38;1;6;11;887;519
lgarrison;2798;1;0;1;2;21;2
arahuja;2823;2;0;1;1;2;4
h10r;2832;2;0;16;15;36;30
ronvohra;2841;2;1;1;1;3;0
csytracy;2919;4;0;3;1;3;2
csytracy;2860;1;0;2;1;2;1
RWalecki;2871;1;0;0;0;0;0
RWalecki;2870;0;0;0;0;0;0
chrisfilo;2874;9;0;1;1;1;1
rafacarrascosa;3488;18;5;3;2;38;0
rafacarrascosa;2883;3;0;1;1;2;3
rafacarrascosa;2881;2;0;1;1;1;1
justhalf;3957;11;2;3;3;43;5
justhalf;2923;43;124;18;6;314;115
andosa;4655;7;1;1;2;8306;9787
andosa;2937;29;11;16;6;8853;8666
dhawaljoh;2950;4;0;75;42;2258;1117
y0ast;4745;6;0;0;0;0;0
y0ast;2956;9;0;0;0;0;0
d42;2978;7;0;0;0;0;0
l00pen;2979;10;0;3;2;7;5
fareshedayati;2984;80;28;81;26;79324;15054
naught101;2996;48;38;39;9;589;7
danstowell;2999;5;0;1;7;8;8
dougvk;3060;0;0;0;0;0;0
raulgarreta;3084;6;8;2;3;115;0
MikhailStartsev;3108;0;0;1;1;1;3
corydolphin;3110;13;0;1;1;63;6
hxu;3113;21;0;2;2;75;47
mrene;3125;2;0;1;1;4;1
t-pfaff;3136;16;0;1;1;2;2
zarch;3155;8;0;3;2;16;0
filthysocks;3181;3;1;1;2;25;2
filthysocks;3163;11;5;7;2;93;40
aboSamoor;3194;3;19;3;1;48;6
mfeurer;3215;4;0;1;2;8;1
besser82;3229;6;0;1;1;2;1
scharron;4106;7;0;0;0;0;0
scharron;3264;5;2;1;2;31;0
stefanv;3633;4;1;2;1;11;10
stefanv;3279;2;0;1;1;1;1
logicmd;3310;5;0;2;1;1;0
wgyn;3311;3;4;2;1;18;18
afshinrahimi;3329;11;5;0;0;0;0
lmatthieu;3348;6;4;2;2;11;1
robertwb;3352;8;1;2;2;13743;760
chatcannon;3354;4;0;2;2;24;10
yelite;3359;45;44;0;0;0;0
gchers;3422;7;3;2;1;4;0
RolT;3426;14;15;1;130;17030;17424
freud14;3476;4;0;0;0;0;0
jatinshah;3531;8;2;12;3;34;25
jatinshah;3497;18;8;6;3;19;8
jld23;3505;1;0;83;94;2246;973
andaag;3519;2;0;1;1;3;1
jonathanronen;3525;3;0;0;0;0;0
makokal;3532;24;1;2;1;6;2
SamStudio8;3533;4;0;1;1;1;1
kaicheng;3558;13;0;1;1;2;1
Tafkas;3789;21;0;0;0;0;0
Tafkas;3568;7;9;0;0;0;0
kashif;3657;22;11;6;11;41;28
kashif;3583;16;0;76;95;2265;8764
SaurabhJha;3788;10;3;4;3;9;4
SaurabhJha;3784;21;3;2;3;10;1
SaurabhJha;3607;112;162;1;5;231;57
kain88-de;3613;11;12;6;2;48;5
0x0L;4094;5;0;1;5;7453;0
0x0L;3755;7;10;5;2;38;11
0x0L;3675;3;0;1;1;2;2
0x0L;3638;14;0;1;4;157;12
mkneierV;3663;6;0;0;0;0;0
nathanathan;3670;3;0;1;1;1;1
hamiltonkibbe;3677;8;0;1;1;1;1
Qiucode;3679;2;0;0;0;0;0
mrterry;3680;22;24;11;2;182;0
BrianLondon;3708;9;19;1;6;203;21
BrianLondon;3704;0;0;1;1;78;2
MattpSoftware;3706;20;40;15;1;227;195
cocuh;3725;15;0;0;0;0;0
jiayiliu;3733;8;0;15;185;46167;1
staple;3756;20;21;6;3;113;7
agileminor;3759;6;2;5;3;46;4
agileminor;3757;0;0;1;1;6;4
Garrett-R;3760;36;9;3;3;52;7
spitz-dan-l;3767;1;0;41;13;2353;2
origingod;3787;0;0;1;1;1;0
yamaguchiyuto;6692;6;0;0;0;0;0
yamaguchiyuto;3816;1;2;0;0;0;0
nicolamontecchio;3834;4;0;0;0;0;0
Alexander-N;3839;0;0;2;2;34;3
zeppe;3916;5;6;6;7;79;46
zeppe;3901;10;0;2;1;5;1
a4tunado;3911;5;0;2;1;13;7
a4tunado;3909;0;0;1;1;10;7
dfletchermaths;3918;3;1;2;1;7;1
tvarvadoukas;3919;3;1;3;2;40;1
dblalock;3951;20;4;2;3;255;65
imkevinyang;3959;8;0;1;1;1;1
DanielSidhion;4001;8;5;0;0;0;0
cemoody;4025;90;129;10;16;29043;1491
wadawson;4039;7;4;1;2;22;9
nathankallus;4060;3;0;1;1;8;8
galv;4065;9;8;8;3;147;0
tomazc;4070;7;0;1;1;2;2
irogerthat;4088;0;0;185;180;8463;7254
seowyanyi;4121;20;3;2;3;29;1
seowyanyi;4120;3;0;3;2;16;1
cathydeng;4150;9;6;5;5;50;21
MMKrell;4169;3;10;3;1;42;42
nadersoliman;4177;4;0;23;8;1329;3
fluctuation;4187;1;2;2;1;24;0
Treora;4205;5;0;1;1;2;0
gitter-badger;4247;6;0;1;1;4;0
Hasil-Sharma;4249;40;33;1;4;53;4
cangermueller;4594;3;0;6;1;91;0
cangermueller;4566;13;5;7;1;99;0
cangermueller;4440;12;0;5;4;49;44
cangermueller;4256;8;0;8;18;107;39
chebee7i;4257;7;0;2;1;19;13
hannawallach;4285;7;5;6;2;73;2
eamartin;4286;47;4;8;3;42;16
mehdidc;4328;5;0;40;90;74777;234
alexsavio;4365;10;1;1498;719;41390;555853
alexsavio;4349;27;8;6;5;100;50
DonBeo;4376;40;23;76;86;941;1251
hhchen1105;4435;14;0;1;1;3;3
hzpc-joostk;4443;7;0;0;0;0;0
kshmelkov;4491;21;57;1;4;366;111
ThatGeoGuy;4635;6;0;6;1;6;13
ThatGeoGuy;4517;9;0;5;1;7;11
jrings;4576;0;0;14;2;6;3
jrings;4575;17;0;6;12;33;24
bmcfee;5914;7;7;4;2;46;5
bmcfee;4583;21;14;26;4;168;0
christophesaintjean;4612;1;0;1;1;47;0
SnakeHunt2012;4621;44;30;10;2;148;46
owengbs;4673;4;0;1;1;2;2
BigCrunsh;4709;2;0;1;2;102;1
ermakovpetr;5900;6;3;1;2;24;6
ermakovpetr;4715;2;2;1;1;7;2
laurentperrinet;4718;7;0;2;1;27;13
stuppie;7203;14;14;4;2;194;80
stuppie;4788;11;0;0;0;0;0
llllllllll;4798;23;33;5;7;249;6
lbillingham;4821;6;0;2;2;1055;1014
jaidevd;4823;8;10;5;2;27;6
pjknkda;4831;5;1;4;2;6;6
Carldeboer;4845;6;0;1;1;6;0
ryadzenine;4904;9;2;1;3;2222;2233
ryadzenine;4903;2;0;1;2;2217;2230
ryadzenine;4897;0;0;1;2;2149;2250
benjaminirving;4924;16;4;0;0;0;0
aupiff;4968;8;1;3;1;17;3
aupiff;4941;4;0;4;1;20;6
shopetan;4951;6;0;2;1;3;0
simon-pepin;4992;3;10;2;1;73;25
simon-pepin;4987;3;0;628;362;43027;51237
ubieting;5064;7;1;2;1;40;1
joewreschnig;5065;14;0;0;0;0;0
andrewgiessel;5083;9;0;4;1;3;1
vermouthmjl;5084;16;22;10;15;67;6
jayflo;5091;12;4;2;3;6;5
hasancansaral;5277;7;2;1;9;41;29
hasancansaral;5102;5;3;3;1;1;0
kyu999;5116;3;0;0;0;0;0
merritts;5127;36;14;22;3;85;10
