user;PR;comments;coments_review;commit;changed_files;add_lines;delete_lines
keon;13;0;0;0;0;0;0
webmaven;38;2;0;2;2;3;3
makky3939;55;2;0;1;1;1;1
ptarjan;60;8;0;1;1;1;1
brendan-rius;90;2;0;1;1;1;1
aertoria;99;3;2;1;1;3;0
seankim902;102;1;0;1;1;1;1
jeffdonahue;113;7;1;2;1;70;8
javierblasco;155;1;0;1;1;7;5
javierblasco;154;0;0;0;0;0;0
mtourne;157;4;0;1;1;18;3
brendandburns;158;1;0;1;4;6;6
formido;283;1;0;1;1;1;1
asseldonk;298;0;0;1;1;2;2
milijan;314;0;0;1;7;32;31
jordanpn;340;3;0;1;2;17;3
jamesliu96;409;0;0;1;1;1;1
nikhilk;423;0;0;1;1;19;0
aidangomez;432;1;0;1;1;2;2
hammer;437;2;0;1;1;2;2
zfrenchee;453;3;0;0;0;0;0
sdemyanov;517;1;0;1;1;98;0
sdemyanov;515;1;0;1;1;2;0
rldotai;569;5;0;2;1;4;4
MarkDaoust;573;9;0;1;2;88;0
joshburkart;656;2;0;1;1;1;1
klangner;742;6;2;0;0;0;0
klangner;741;4;0;0;0;0;0
jfsantos;764;26;1;1;2;13;1
jfsantos;749;15;0;1;2;13;12
jeremybarnes;763;30;0;1;6;1418;109
brchiu;792;20;0;1;2;2;2
naveensundarg;805;9;0;1;1;2;2
cesarsalgado;1278;2;0;1;1;1;1
cesarsalgado;1260;2;0;1;1;1;1
cesarsalgado;828;8;0;3;3;8;8
flrgsr;840;6;0;1;1;670;392
wasserfuhr;849;2;0;1;1;1;1
wasserfuhr;844;6;0;1;1;1;1
nikriek;850;3;0;1;1;2;2
PatrickChrist;853;7;0;3;2;3;0
eguven;854;5;0;1;1;7;7
xsankar;860;3;0;1;1;1;1
xsankar;858;5;0;1;1;2;2
cg31;1144;2;0;2;8;18;5
cg31;1133;4;0;1;1;1;1
cg31;1120;6;1;1;2;27;78
cg31;1118;1;0;1;1;26;53
cg31;1090;8;0;2;17;34;17
cg31;1059;4;0;1;6;12;5
cg31;887;6;0;2;1;2;1
cg31;872;3;0;292;369;370;118902
cg31;863;3;0;2;8;8;3
shreyasva;948;2;9;1;2;7;1
shreyasva;866;10;0;1;1;1;1
lzlarryli;871;16;0;1;6;3196;2434
timothyjlaurent;873;25;1;1;1;10;0
seanpavlov;879;7;0;1;1;2;2
manipopopo;882;18;0;2;2;159;41
emmjaykay;893;2;0;0;0;0;0
emmjaykay;886;2;0;0;0;0;0
emmjaykay;884;7;2;0;0;0;0
edevil;892;7;0;1;1;1;1
memo;894;20;0;1;1;9;0
ah-;895;8;0;1;1;2;2
eduardo-elizondo;904;2;0;0;0;0;0
furaoing;909;6;0;1;1;12;2
noahlitvin;919;4;0;1;5;7;7
thagikura;926;14;0;2;1;85;0
bellaj;930;1;0;20;1;198;0
rthouvenin;940;6;9;2;1;202;99
mtamburrano;963;10;0;1;1;18;10
dvyukov;967;9;0;1;10;1236;113
cwhy;972;8;0;2;1;1;0
sasbluesea;974;2;0;1;1;1;1
sasbluesea;973;4;0;1;1;1;1
lukas-krecan;984;10;0;1;1;5;2
TronicLT;986;4;0;4;2;7;9
luckluca;989;6;0;1;1;4;2
amcnamara;995;6;0;1;1;2;1
Mandar-Shinde;1003;11;0;3;1;12;14
povi;1023;5;0;1;1;1;1
rizzomichaelg;1042;1;0;1;1;1;1
yoneken;1094;3;0;0;0;0;0
yoneken;1058;2;0;0;0;0;0
lucaswiser;1249;15;0;1;2;27;16
lucaswiser;1247;2;0;1;2;23;12
lucaswiser;1202;4;0;5;2;23;12
lucaswiser;1081;5;0;2;2;62;7
Macbull;1119;5;0;4;1;2;2
wlsc;2539;1;0;0;0;0;0
wlsc;1139;7;0;0;0;0;0
Vesnica;1164;7;0;3;0;0;0
daxlab;1175;3;0;1;1;10;18
daxlab;1174;2;0;2;1;10;18
wm901115nwpu;1186;3;0;15;16;178;42
Obeyed;1194;4;0;0;0;0;0
kmader;1357;10;0;2;1;442;0
kmader;1215;5;0;4;1;1676;0
NHDaly;1219;4;0;1;1;2;2
tmc;1237;20;17;5;26;2935;0
pranav656;1351;2;0;1;1;0;2
pranav656;1316;2;0;1;1;0;2
pranav656;1298;2;0;0;0;0;0
KonradMagnusson;1302;2;0;0;0;0;0
rbharath;1309;19;2;1;193;6867;2130
eavgerinos;1312;2;0;1;1;1;1
kmitchner;1313;7;0;1;1;1;1
BanditCat;1321;5;0;1;1;1;1
mpeteuil;1327;8;0;1;1;1;1
timsl;1335;4;0;1;1;1;1
hanyo;1338;3;0;2;0;0;0
ihodes;1339;7;0;1;1;1;1
JACKHAHA363;1345;5;0;1;1;1;1
syed-ahmed;1371;4;0;2;1;1;0
cameronphchen;1395;2;0;1;1;1;1
cameronphchen;1394;8;6;4;2;105;0
johcarvajal;1435;5;0;0;0;0;0
Muaazbinsaeed;1476;3;0;1;1;8;2
BvEden;1492;3;0;4;3;16;23
lekaha;1612;2;0;2;1;4;1
lekaha;1599;4;0;1;1;4;1
lekaha;1531;7;0;1;1;7;2
muliliao;1552;3;0;4;2;7;7
lopespm;1554;2;2;3;1;2;2
dansbecker;1729;4;0;1;1;111;0
dansbecker;1576;2;0;4;22;40;50
WangYuTum;1602;2;0;1;0;0;0
ShuaiW;1609;6;0;1;1;1;1
the872;1659;5;0;0;0;0;0
