mdolk;1;453;;;;;;;;;;;;;;;;;;;;;;;
dandoyon;4;576;564;515;495;;;;;;;;;;;;;;;;;;;;
tonitt;1;525;;;;;;;;;;;;;;;;;;;;;;;
marcenuc;5;746;574;567;566;545;;;;;;;;;;;;;;;;;;;
hekke;1;568;;;;;;;;;;;;;;;;;;;;;;;
TEHEK;8;7685;1616;675;659;604;603;593;572;;;;;;;;;;;;;;;;
dmanek;8;696;695;668;650;640;616;587;575;;;;;;;;;;;;;;;;
bartes;8;676;666;665;664;663;662;661;577;;;;;;;;;;;;;;;;
ijonlester;1;598;;;;;;;;;;;;;;;;;;;;;;;
kstep;3;723;720;601;;;;;;;;;;;;;;;;;;;;;
nateflink;1;649;;;;;;;;;;;;;;;;;;;;;;;
tleruitte;7;10748;10747;2121;2045;890;848;671;;;;;;;;;;;;;;;;;
mhansen;1;691;;;;;;;;;;;;;;;;;;;;;;;
msgilligan;1;699;;;;;;;;;;;;;;;;;;;;;;;
ludicast;1;722;;;;;;;;;;;;;;;;;;;;;;;
groner;6;1242;987;728;330;125;102;;;;;;;;;;;;;;;;;;
alkis;10;792;730;13;12;11;9;8;7;6;5;;;;;;;;;;;;;;
manuel-woelker;2;6515;739;;;;;;;;;;;;;;;;;;;;;;
stephanebisson;3;1570;1291;744;;;;;;;;;;;;;;;;;;;;;
robertjd;1;752;;;;;;;;;;;;;;;;;;;;;;;
recht;3;1283;829;756;;;;;;;;;;;;;;;;;;;;;
ysiadf;1;777;;;;;;;;;;;;;;;;;;;;;;;
danielzen;3;812;795;790;;;;;;;;;;;;;;;;;;;;;
mkotsur;3;844;840;819;;;;;;;;;;;;;;;;;;;;;
xrd;2;1078;868;;;;;;;;;;;;;;;;;;;;;;
simpulton;3;5696;891;874;;;;;;;;;;;;;;;;;;;;;
johnlindquist;3;1288;888;878;;;;;;;;;;;;;;;;;;;;;
dcsg;1;900;;;;;;;;;;;;;;;;;;;;;;;
mknecht;1;907;;;;;;;;;;;;;;;;;;;;;;;
maxmart;5;1023;1022;965;964;928;;;;;;;;;;;;;;;;;;;
YeFFreY;1;929;;;;;;;;;;;;;;;;;;;;;;;
zhenbzha;2;1362;944;;;;;;;;;;;;;;;;;;;;;;
petrovalex;5;1368;1264;991;972;948;;;;;;;;;;;;;;;;;;;
michaelmoussa;1;962;;;;;;;;;;;;;;;;;;;;;;;
steinjak;1;989;;;;;;;;;;;;;;;;;;;;;;;
oori;1;994;;;;;;;;;;;;;;;;;;;;;;;
bradlygreen;3;4470;1026;999;;;;;;;;;;;;;;;;;;;;;
alimills;1;1008;;;;;;;;;;;;;;;;;;;;;;;
colinfrei;3;3755;1300;1010;;;;;;;;;;;;;;;;;;;;;
ajoslin;4;10684;6073;3256;1045;;;;;;;;;;;;;;;;;;;;
ricardohbin;5;3857;3073;1548;1047;1046;;;;;;;;;;;;;;;;;;;
taralx;2;1583;1053;;;;;;;;;;;;;;;;;;;;;;
floydwch;1;1057;;;;;;;;;;;;;;;;;;;;;;;
mernen;9;9640;3714;2141;1538;1528;1496;1489;1350;1063;;;;;;;;;;;;;;;
umurkontaci;2;3986;1064;;;;;;;;;;;;;;;;;;;;;;
fuqcool;3;8098;7795;1066;;;;;;;;;;;;;;;;;;;;;
witoldsz;2;1077;439;;;;;;;;;;;;;;;;;;;;;;
jzacsh;2;1299;1080;;;;;;;;;;;;;;;;;;;;;;
Urigo;21;9844;5795;5794;5793;5792;5791;5790;5789;4665;4180;4179;1688;1687;1686;1685;1684;1683;1604;1357;1233;1082;;;
kevinold;1;1089;;;;;;;;;;;;;;;;;;;;;;;
m5m1th;1;1105;;;;;;;;;;;;;;;;;;;;;;;
rishabhsrao;1;1106;;;;;;;;;;;;;;;;;;;;;;;
shyamseshadri;10;2446;2168;2161;1498;1341;1122;1121;1115;1108;43;;;;;;;;;;;;;;
m6w6;1;1109;;;;;;;;;;;;;;;;;;;;;;;
lascap;1;1113;;;;;;;;;;;;;;;;;;;;;;;
beatscode;1;1120;;;;;;;;;;;;;;;;;;;;;;;
jamiekrug;4;7313;1295;1294;1137;;;;;;;;;;;;;;;;;;;;
sjhernes;1;1140;;;;;;;;;;;;;;;;;;;;;;;
xrchen;1;1142;;;;;;;;;;;;;;;;;;;;;;;
fernandoacorreia;1;1145;;;;;;;;;;;;;;;;;;;;;;;
andresmoschini;2;1151;1147;;;;;;;;;;;;;;;;;;;;;;
Alex-D;1;1150;;;;;;;;;;;;;;;;;;;;;;;
brettcannon;22;1190;1185;1183;1182;1180;1178;1177;1176;1175;1174;1173;1172;1171;1162;1161;1160;1158;1157;1156;1154;1153;1152;;
briceburg;2;1227;1155;;;;;;;;;;;;;;;;;;;;;;
cristatus;1;1188;;;;;;;;;;;;;;;;;;;;;;;
pdswan;2;2172;1196;;;;;;;;;;;;;;;;;;;;;;
hkdobrev;2;1471;1198;;;;;;;;;;;;;;;;;;;;;;
ganarajpr;2;4631;1203;;;;;;;;;;;;;;;;;;;;;;
sgtpep;1;1205;;;;;;;;;;;;;;;;;;;;;;;
thughes;1;1209;;;;;;;;;;;;;;;;;;;;;;;
sahat;1;1222;;;;;;;;;;;;;;;;;;;;;;;
calvinhuang;1;1223;;;;;;;;;;;;;;;;;;;;;;;
snicolai;2;5374;1232;;;;;;;;;;;;;;;;;;;;;;
fran6co;1;1234;;;;;;;;;;;;;;;;;;;;;;;
tyson-benson;1;1239;;;;;;;;;;;;;;;;;;;;;;;
unirgy;1;1247;;;;;;;;;;;;;;;;;;;;;;;
camwest;1;1253;;;;;;;;;;;;;;;;;;;;;;;
pixshatterer;1;1269;;;;;;;;;;;;;;;;;;;;;;;
AlexGalays;1;1278;;;;;;;;;;;;;;;;;;;;;;;
benjamine;1;1279;;;;;;;;;;;;;;;;;;;;;;;
csugden;1;1292;;;;;;;;;;;;;;;;;;;;;;;
grevory;1;1303;;;;;;;;;;;;;;;;;;;;;;;
pedrodelgallego;2;1407;1310;;;;;;;;;;;;;;;;;;;;;;
applmak;1;1314;;;;;;;;;;;;;;;;;;;;;;;
iwein;2;1330;1315;;;;;;;;;;;;;;;;;;;;;;
traviswatsonws;1;1326;;;;;;;;;;;;;;;;;;;;;;;
camshaft;1;1328;;;;;;;;;;;;;;;;;;;;;;;
jayzeng;3;1735;1353;1334;;;;;;;;;;;;;;;;;;;;;
godmar;1;1336;;;;;;;;;;;;;;;;;;;;;;;
ghsyeung;1;1343;;;;;;;;;;;;;;;;;;;;;;;
zhuomingliang;1;1349;;;;;;;;;;;;;;;;;;;;;;;
tdavis;1;1364;;;;;;;;;;;;;;;;;;;;;;;
daaain;1;1365;;;;;;;;;;;;;;;;;;;;;;;
davedx;3;1387;1386;1385;;;;;;;;;;;;;;;;;;;;;
Iristyle;1;1398;;;;;;;;;;;;;;;;;;;;;;;
chrisirhc;12;11547;9258;9237;9126;5984;5660;5571;5109;4128;4098;2950;1399;;;;;;;;;;;;
fredrikbonander;3;1910;1908;1402;;;;;;;;;;;;;;;;;;;;;
deviousdodo;1;1408;;;;;;;;;;;;;;;;;;;;;;;
gabrielf;1;1410;;;;;;;;;;;;;;;;;;;;;;;
prognostikos;1;1421;;;;;;;;;;;;;;;;;;;;;;;
duelinmarkers;1;1424;;;;;;;;;;;;;;;;;;;;;;;
peroksid;1;1432;;;;;;;;;;;;;;;;;;;;;;;
zdexter;2;1671;1446;;;;;;;;;;;;;;;;;;;;;;
kevinwestern;3;7698;1461;1449;;;;;;;;;;;;;;;;;;;;;
wesalvaro;13;11745;10950;10896;7806;7577;7481;7425;7386;6102;5832;5831;5827;1456;;;;;;;;;;;
jergason;1;1458;;;;;;;;;;;;;;;;;;;;;;;
annavester;3;1887;1552;1470;;;;;;;;;;;;;;;;;;;;;
jamesreggio;2;1487;1474;;;;;;;;;;;;;;;;;;;;;;
sudhirj;5;1612;1611;1601;1480;1479;;;;;;;;;;;;;;;;;;;
fredsa;17;11419;11413;11365;4708;4707;4705;3911;1904;1885;1877;1824;1748;1655;1645;1641;1482;1481;;;;;;;
rewritten;1;1483;;;;;;;;;;;;;;;;;;;;;;;
sqwishy;1;1500;;;;;;;;;;;;;;;;;;;;;;;
paul-hammant;1;1507;;;;;;;;;;;;;;;;;;;;;;;
adam33;1;1508;;;;;;;;;;;;;;;;;;;;;;;
PeteAppleton;2;1512;1509;;;;;;;;;;;;;;;;;;;;;;
refractalize;2;1536;1513;;;;;;;;;;;;;;;;;;;;;;
ryanzec;2;4412;1514;;;;;;;;;;;;;;;;;;;;;;
sergiopantoja;3;3143;1848;1520;;;;;;;;;;;;;;;;;;;;;
lrlopez;14;7011;6945;4859;4500;3517;3516;2398;2129;2061;1889;1849;1560;1559;1524;;;;;;;;;;
knewter;2;1530;1529;;;;;;;;;;;;;;;;;;;;;;
treasonx;1;1535;;;;;;;;;;;;;;;;;;;;;;;
jtymes;6;3177;1653;1643;1617;1562;1542;;;;;;;;;;;;;;;;;;
ProLoser;9;6081;3998;3044;2925;2888;2853;2673;1881;1543;;;;;;;;;;;;;;;
geddski;6;4192;2237;2189;2108;2094;1544;;;;;;;;;;;;;;;;;;
christianvuerings;4;12317;2435;2122;1546;;;;;;;;;;;;;;;;;;;;
partap;1;1547;;;;;;;;;;;;;;;;;;;;;;;
rgaskill;3;12189;1613;1564;;;;;;;;;;;;;;;;;;;;;
neocris;1;1566;;;;;;;;;;;;;;;;;;;;;;;
florianorben;3;2134;2132;1588;;;;;;;;;;;;;;;;;;;;;
freshtonic;1;1593;;;;;;;;;;;;;;;;;;;;;;;
JohannesEH;1;1595;;;;;;;;;;;;;;;;;;;;;;;
krisajenkins;1;1596;;;;;;;;;;;;;;;;;;;;;;;
cezar-berea;2;1640;1607;;;;;;;;;;;;;;;;;;;;;;
marknadig;3;2101;1921;1622;;;;;;;;;;;;;;;;;;;;;
dbinit;12;8959;5173;4611;4131;3353;2757;2529;2523;2503;2452;1836;1623;;;;;;;;;;;;
nlaplante;1;1625;;;;;;;;;;;;;;;;;;;;;;;
jmaynier;2;1865;1626;;;;;;;;;;;;;;;;;;;;;;
skivvies;2;1624;1629;;;;;;;;;;;;;;;;;;;;;;
murilobr;1;1630;;;;;;;;;;;;;;;;;;;;;;;
xealot;1;1634;;;;;;;;;;;;;;;;;;;;;;;
MathRobin;1;1639;;;;;;;;;;;;;;;;;;;;;;;
romainneutron;1;1658;;;;;;;;;;;;;;;;;;;;;;;
quazzie;7;6369;4788;4233;2206;2204;2040;1663;;;;;;;;;;;;;;;;;
case;2;1673;1666;;;;;;;;;;;;;;;;;;;;;;
kitsched;1;1667;;;;;;;;;;;;;;;;;;;;;;;
jsyrjala;2;3150;1672;;;;;;;;;;;;;;;;;;;;;;
gregwebs;1;1675;;;;;;;;;;;;;;;;;;;;;;;
gonzaloruizdevilla;18;11787;10192;10137;8894;8892;5689;5688;5491;4940;3865;2554;2553;2056;1982;1938;1695;1692;1676;;;;;;
maur8ino;1;1677;;;;;;;;;;;;;;;;;;;;;;;
evjan;1;1691;;;;;;;;;;;;;;;;;;;;;;;
ggoodman;1;1694;;;;;;;;;;;;;;;;;;;;;;;
inukshuk;1;1701;;;;;;;;;;;;;;;;;;;;;;;
flazz;1;1708;;;;;;;;;;;;;;;;;;;;;;;
jonbcard;1;1709;;;;;;;;;;;;;;;;;;;;;;;
benmccann;5;5516;5412;4172;3947;1710;;;;;;;;;;;;;;;;;;;
imrehg;1;1719;;;;;;;;;;;;;;;;;;;;;;;
justmoon;1;1721;;;;;;;;;;;;;;;;;;;;;;;
fletchgqc;1;1722;;;;;;;;;;;;;;;;;;;;;;;
langdonx;1;1723;;;;;;;;;;;;;;;;;;;;;;;
Keyamoon;2;1732;1731;;;;;;;;;;;;;;;;;;;;;;
imageoptimiser;1;1742;;;;;;;;;;;;;;;;;;;;;;;
joshrtay;5;3559;2742;2701;1745;1744;;;;;;;;;;;;;;;;;;;
mghardy;1;1756;;;;;;;;;;;;;;;;;;;;;;;
provegard;3;2020;1758;1757;;;;;;;;;;;;;;;;;;;;;
klokoy;1;1759;;;;;;;;;;;;;;;;;;;;;;;
bignall;1;1760;;;;;;;;;;;;;;;;;;;;;;;
naomiblack;7;15543;3442;3438;3431;3272;1777;1763;;;;;;;;;;;;;;;;;
kmayer;2;1772;1767;;;;;;;;;;;;;;;;;;;;;;
kimpettersen;3;5360;5342;1768;;;;;;;;;;;;;;;;;;;;;
viilaismonster;1;1770;;;;;;;;;;;;;;;;;;;;;;;
pavelgj;1;1775;;;;;;;;;;;;;;;;;;;;;;;
shairez;4;6301;2959;1843;1776;;;;;;;;;;;;;;;;;;;;
patgannon;1;1783;;;;;;;;;;;;;;;;;;;;;;;
danilsomsikov;2;1860;1793;;;;;;;;;;;;;;;;;;;;;;
