somebadger;1;385;;;;;;
phantomcircuit;1;421;;;;;;
JoelKatz;2;430;426;;;;;
mklarmann;1;530;;;;;;
finway-china;1;685;;;;;;
p2k;1;770;;;;;;
jondoh;1;1016;;;;;;
olea;1;1216;;;;;;
ahf;1;1328;;;;;;
zootreeves;1;1487;;;;;;
doublec;1;1498;;;;;;
mhredmond21;1;1533;;;;;;
clopez;1;1762;;;;;;
xblitz;1;1867;;;;;;
tucenaber;1;1952;;;;;;
dparrish;1;1957;;;;;;
znort987;1;1991;;;;;;
n1bor;1;2050;;;;;;
mikegogulski;5;2130;2075;2071;2070;2069;;
ayanes;2;2103;2101;;;;;
da2ce7;1;2128;;;;;;
tomboy-64;1;2211;;;;;;
interfect;1;2266;;;;;;
starius;1;2331;;;;;;
Nerzahd;1;2352;;;;;;
Bobalot;1;2364;;;;;;
zechiel;1;2366;;;;;;
jonls;2;2412;2383;;;;;
SanderKleykens;1;2406;;;;;;
fredan;1;2415;;;;;;
silvioq;1;2421;;;;;;
da2x;1;2430;;;;;;
aviad;1;2432;;;;;;
KumaresanC;1;2508;;;;;;
tariq786;1;2528;;;;;;
shufps;2;2579;2578;;;;;
mcdee;1;2590;;;;;;
zeldovich;1;2604;;;;;;
ChristopherFranko;1;2622;;;;;;
phorensic;1;2624;;;;;;
Crinklebine;2;2638;2636;;;;;
semibiotic;1;2647;;;;;;
pshep;1;2663;;;;;;
Jowbob;1;2665;;;;;;
nmarley;1;2669;;;;;;
paraboul;1;2703;;;;;;
Nicolai-s;1;2718;;;;;;
oleganza;1;2756;;;;;;
crazikPL;1;2775;;;;;;
speirs;1;2807;;;;;;
wlch;1;2809;;;;;;
Chemisist;1;2823;;;;;;
daedalus;1;2824;;;;;;
grayleonard;1;2845;;;;;;
dan-da;1;2864;;;;;;
meighti;1;2875;;;;;;
avl42;1;2908;;;;;;
Enelar;2;2921;2920;;;;;
soroush;1;2969;;;;;;
aceat64;1;2970;;;;;;
timsk;1;3032;;;;;;
kybl;1;3048;;;;;;
bruiselee;1;3065;;;;;;
sje1;1;3184;;;;;;
dertin;7;3264;3263;3262;3261;3260;3259;3251
richard-flosi;1;3301;;;;;;
Qingshenghan;1;3310;;;;;;
zhfnmail;1;3312;;;;;;
wonabru;1;3352;;;;;;
AgentME;1;3441;;;;;;
kardotim;1;3446;;;;;;
emmix;2;3556;3458;;;;;
awoland;2;3486;3462;;;;;
DontKnowPS;1;3463;;;;;;
GSchrammel;1;3467;;;;;;
y12studio;1;3469;;;;;;
tarbell;2;3473;3472;;;;;
LifeDies;1;3475;;;;;;
chjj;3;5084;3714;3576;;;;
kajhuisman;1;3705;;;;;;
sdaves;1;3706;;;;;;
feisuzhu;1;3708;;;;;;
ianks;1;3745;;;;;;
vegard;3;3799;363;349;;;;
thegreatnegel;1;3811;;;;;;
i-rme;1;3827;;;;;;
philsong;2;6592;3852;;;;;
hno;2;3889;3888;;;;;
frank5192035;1;3899;;;;;;
BIGKAT;1;3909;;;;;;
Gabrola;1;3932;;;;;;
xdlapp;1;3933;;;;;;
felipelalli;2;3962;3944;;;;;
wanbok;1;3947;;;;;;
kjsisco;2;3996;3995;;;;;
icyfox-bupt;2;4039;4038;;;;;
assaflavie;1;4040;;;;;;
tedjweb;1;4056;;;;;;
gehlm;1;4072;;;;;;
vipwzw;1;4113;;;;;;
zibcoin;1;4117;;;;;;
d3rrial;2;4144;4143;;;;;
MathyV;1;4158;;;;;;
rabuse;1;4179;;;;;;
StephenLReed;1;4214;;;;;;
shinaberryj;1;4363;;;;;;
crispweed;1;4369;;;;;;
haight6716;1;4411;;;;;;
synctext;1;4412;;;;;;
robertsdotpm;1;4443;;;;;;
pygeek;2;4483;4482;;;;;
xenog;1;4526;;;;;;
bitcoinland;1;4569;;;;;;
kevinfuwenke;1;4588;;;;;;
pryds;1;4619;;;;;;
nuggetbram;1;4647;;;;;;
rmckay;1;4686;;;;;;
SergioDemianLerner;3;4845;4732;4688;;;;
hahahafr;1;4691;;;;;;
irieGhost;2;4742;4741;;;;;
jrick;2;6162;4769;;;;;
freddiecoleman;1;4860;;;;;;
malleor;1;4913;;;;;;
nickodell;1;4916;;;;;;
AlexJeng;1;4956;;;;;;
Spacefish;1;4961;;;;;;
rcwilkes;1;5019;;;;;;
tinybike;1;5043;;;;;;
prodigeinfo;2;5061;5060;;;;;
panlilu;1;5087;;;;;;
timohanke;1;5102;;;;;;
X-NicON;1;5125;;;;;;
microcai;1;5166;;;;;;
nottombrown;1;5193;;;;;;
Elbandi;1;5217;;;;;;
koharjidan;1;5236;;;;;;
ddustin;1;5276;;;;;;
jgraef;1;5328;;;;;;
