davatron5000;1;8;;;;;;;;;;;;
davecardwell;2;28;27;;;;;;;;;;;
tabacco;1;35;;;;;;;;;;;;
nvartolomei;1;37;;;;;;;;;;;;
hogart;1;40;;;;;;;;;;;;
speg;1;45;;;;;;;;;;;;
wibron;1;55;;;;;;;;;;;;
lukeholder;1;59;;;;;;;;;;;;
optikfluffel;1;69;;;;;;;;;;;;
shamanime;1;70;;;;;;;;;;;;
yadoga;3;165;163;91;;;;;;;;;;
zachpendleton;1;106;;;;;;;;;;;;
vvdpzz;1;107;;;;;;;;;;;;
peburrows;1;112;;;;;;;;;;;;
sweikenb;1;115;;;;;;;;;;;;
dagmar;2;122;120;;;;;;;;;;;
emilkje;2;6665;121;;;;;;;;;;;
rspeer;1;132;;;;;;;;;;;;
eduard-io;1;134;;;;;;;;;;;;
nikku;2;183;141;;;;;;;;;;;
kamui545;3;301;166;150;;;;;;;;;;
bdalziel;1;157;;;;;;;;;;;;
mikea;1;173;;;;;;;;;;;;
lincolnthree;1;179;;;;;;;;;;;;
connor;2;368;187;;;;;;;;;;;
chripede;1;196;;;;;;;;;;;;
bitbonsai;1;200;;;;;;;;;;;;
khoogheem;1;207;;;;;;;;;;;;
Timothee;1;208;;;;;;;;;;;;
dyve;5;2230;2173;2166;1983;210;;;;;;;;
obeattie;1;212;;;;;;;;;;;;
marksands;1;236;;;;;;;;;;;;
EgoAleSum;4;3691;3346;2932;249;;;;;;;;;
blakejakopovic;1;251;;;;;;;;;;;;
dmyers;2;351;255;;;;;;;;;;;
rafikk;1;262;;;;;;;;;;;;
beinstein;1;264;;;;;;;;;;;;
petervandenabeele;2;274;273;;;;;;;;;;;
snapshot;1;277;;;;;;;;;;;;
lightglitch;2;317;279;;;;;;;;;;;
JeanMertz;1;286;;;;;;;;;;;;
scott-stewart;2;1417;300;;;;;;;;;;;
lvivier;1;308;;;;;;;;;;;;
futoase;1;311;;;;;;;;;;;;
erikdahlstrand;1;319;;;;;;;;;;;;
ncuesta;1;323;;;;;;;;;;;;
wlangstroth;1;326;;;;;;;;;;;;
