jvc26;1;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
niwinz;7;678;555;66;65;41;33;4;;;;;;;;;;;;;;;;;;;;;;;
remiprev;1;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
yuvadm;1;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
JCB-K;1;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
davehughes;1;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
tvaughan;1;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
robgolding;1;36;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
kennethreitz;1;40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gerardo-orozco;1;42;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
natebragg;1;46;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
pzinovkin;4;2241;308;62;49;;;;;;;;;;;;;;;;;;;;;;;;;;
ei-grad;1;54;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
tylerball;1;55;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
pvanderlinden;1;56;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
bradbeattie;2;59;58;;;;;;;;;;;;;;;;;;;;;;;;;;;;
programmerq;1;60;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
httpdss;1;63;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
stephenmuss;2;499;64;;;;;;;;;;;;;;;;;;;;;;;;;;;;
valhallasw;1;67;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
newmaniese;4;74;73;72;71;;;;;;;;;;;;;;;;;;;;;;;;;;
eamonnfaherty;1;77;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
crodjer;6;576;454;453;452;95;78;;;;;;;;;;;;;;;;;;;;;;;;
datajockey;1;83;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
bmihelac;7;2246;1005;698;697;390;163;84;;;;;;;;;;;;;;;;;;;;;;;
rafaduran;3;96;91;85;;;;;;;;;;;;;;;;;;;;;;;;;;;
davedash;1;87;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
jpic;15;8024;7785;7681;6368;6037;4824;4822;4821;4747;4684;795;763;761;732;88;;;;;;;;;;;;;;;
jacobh;2;3030;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;
vsajip;1;102;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
fabianbuechler;2;618;108;;;;;;;;;;;;;;;;;;;;;;;;;;;;
msabramo;1;110;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
littke;1;111;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
svartalf;1;113;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
saschpe;6;1759;1718;1717;695;150;114;;;;;;;;;;;;;;;;;;;;;;;;
raulcd;4;3983;3443;118;115;;;;;;;;;;;;;;;;;;;;;;;;;;
westfeld;1;116;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
pvl;3;135;131;120;;;;;;;;;;;;;;;;;;;;;;;;;;;
JannKleen;1;126;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
audreyr;1;128;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
nmfm;1;132;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
chrisglass;1;133;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
kennethlove;2;5033;145;;;;;;;;;;;;;;;;;;;;;;;;;;;;
fuu;1;147;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dgerzo;2;591;148;;;;;;;;;;;;;;;;;;;;;;;;;;;;
tsaylor;1;151;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
cobalys;2;180;152;;;;;;;;;;;;;;;;;;;;;;;;;;;;
nagisa;2;170;154;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Psycojoker;3;4466;4402;155;;;;;;;;;;;;;;;;;;;;;;;;;;;
ekkus93;1;158;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ChameleonRed;2;2648;160;;;;;;;;;;;;;;;;;;;;;;;;;;;;
errx;3;2454;939;161;;;;;;;;;;;;;;;;;;;;;;;;;;;
ximi;1;162;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
tuxcanfly;7;1761;1748;1716;1687;660;165;164;;;;;;;;;;;;;;;;;;;;;;;
jairtrejo;1;166;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
jnns;2;2473;167;;;;;;;;;;;;;;;;;;;;;;;;;;;;
tomkins;1;169;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gabrielgrant;1;171;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
aashudwivedi;1;172;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
bradleyayers;2;234;174;;;;;;;;;;;;;;;;;;;;;;;;;;;;
adw0rd;1;175;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
bhuztez;2;178;177;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dittaeva;2;205;179;;;;;;;;;;;;;;;;;;;;;;;;;;;;
deniscostadsc;1;181;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
alrra;1;184;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
babymastodon;1;189;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ulope;2;3545;190;;;;;;;;;;;;;;;;;;;;;;;;;;;;
aptwebapps;1;191;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
kevinschaul;1;194;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
doismellburning;2;3102;196;;;;;;;;;;;;;;;;;;;;;;;;;;;;
danielsokolowski;4;1423;1284;787;198;;;;;;;;;;;;;;;;;;;;;;;;;;
micolous;4;1222;1202;373;201;;;;;;;;;;;;;;;;;;;;;;;;;;
sjaensch;1;202;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
mtigas;1;203;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
mariocesar;3;465;461;206;;;;;;;;;;;;;;;;;;;;;;;;;;;
Miserlou;2;4596;211;;;;;;;;;;;;;;;;;;;;;;;;;;;;
goinnn;4;1936;1292;1291;217;;;;;;;;;;;;;;;;;;;;;;;;;;
nsb;1;219;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
kylemacfarlane;1;222;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
eduardocereto;2;227;226;;;;;;;;;;;;;;;;;;;;;;;;;;;;
davideklund;1;235;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
lorin;7;1006;903;515;513;408;279;238;;;;;;;;;;;;;;;;;;;;;;;
cadusk;1;239;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
cberner;2;241;240;;;;;;;;;;;;;;;;;;;;;;;;;;;;
lifeiscontent;1;242;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
windwiny;1;243;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Agilemeister;1;247;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
kamikaze;1;250;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
bremac;1;251;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
digi604;1;254;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
andrewsmedina;4;264;263;259;257;;;;;;;;;;;;;;;;;;;;;;;;;;
dlemos;1;258;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GaretJax;1;260;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
martijnvermaat;1;262;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
chrislawlor;3;268;267;266;;;;;;;;;;;;;;;;;;;;;;;;;;;
danniel;1;275;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
naktinis;3;278;277;276;;;;;;;;;;;;;;;;;;;;;;;;;;;
pelletier;1;280;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Natim;3;2066;866;281;;;;;;;;;;;;;;;;;;;;;;;;;;;
thaxter;1;290;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ryan-blunden;1;292;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dlamotte;3;893;304;302;;;;;;;;;;;;;;;;;;;;;;;;;;;
phill-tornroth;1;303;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
d1ffuz0r;4;416;410;409;305;;;;;;;;;;;;;;;;;;;;;;;;;;
mrmagooey;1;306;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
bnomis;1;307;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dmclain;1;314;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
g1smd;2;324;316;;;;;;;;;;;;;;;;;;;;;;;;;;;;
anton-ryzhov;1;317;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
myusuf3;2;859;319;;;;;;;;;;;;;;;;;;;;;;;;;;;;
idanz;1;321;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
awsum;1;322;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
lotheac;2;369;326;;;;;;;;;;;;;;;;;;;;;;;;;;;;
mcrute;1;328;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
kix;1;329;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
obeattie;2;1021;332;;;;;;;;;;;;;;;;;;;;;;;;;;;;
bumyong;1;344;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ashchristopher;1;346;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
jwmayfield;1;347;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
rvarshney;1;348;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
peterlandry;2;2419;352;;;;;;;;;;;;;;;;;;;;;;;;;;;;
adamdeprince;2;1473;353;;;;;;;;;;;;;;;;;;;;;;;;;;;;
frgtn;2;7486;367;;;;;;;;;;;;;;;;;;;;;;;;;;;;
jgsogo;1;368;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
bkg;2;395;374;;;;;;;;;;;;;;;;;;;;;;;;;;;;
meric;1;378;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
jdunck;3;848;384;381;;;;;;;;;;;;;;;;;;;;;;;;;;;
paulswartz;1;382;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
trbs;1;383;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
jMyles;2;4066;387;;;;;;;;;;;;;;;;;;;;;;;;;;;;
viniciuscainelli;1;392;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dvelyk;1;397;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
melinath;7;2655;2652;2638;2452;414;413;398;;;;;;;;;;;;;;;;;;;;;;;
jbuckner;1;406;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
mhaligowski;3;429;424;412;;;;;;;;;;;;;;;;;;;;;;;;;;;
doda;1;415;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0x0badc0de;1;417;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Vienzzion;1;421;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
vicould;2;449;423;;;;;;;;;;;;;;;;;;;;;;;;;;;;
arild-haugstad;1;432;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
lqc;3;443;442;441;;;;;;;;;;;;;;;;;;;;;;;;;;;
signed0;2;446;445;;;;;;;;;;;;;;;;;;;;;;;;;;;;
erlenddalen;1;447;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
santtu;1;448;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kronuz;2;4095;451;;;;;;;;;;;;;;;;;;;;;;;;;;;;
L1NT;1;458;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
fanatid;1;464;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
pholmes-gsa;1;471;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ibustama;1;477;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
fletom;1;478;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
nosamanuel;1;482;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
foxx;1;483;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
khoomeister;2;491;487;;;;;;;;;;;;;;;;;;;;;;;;;;;;
keimlink;1;489;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
kokardy;1;492;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
harph;1;498;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
beshrkayali;1;500;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
pkolt;1;501;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
benoitbryon;1;502;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
woodlee;1;505;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
seanbrant;1;508;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Glideh;1;510;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
minrk;2;1403;512;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EmilStenstrom;3;1106;525;522;;;;;;;;;;;;;;;;;;;;;;;;;;;
nicolaslara;1;526;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
heyman;1;527;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
per42;2;542;528;;;;;;;;;;;;;;;;;;;;;;;;;;;;
thiderman;2;535;529;;;;;;;;;;;;;;;;;;;;;;;;;;;;
cvitan;3;1109;1105;530;;;;;;;;;;;;;;;;;;;;;;;;;;;
shepdl;1;531;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
