ringerc;2;1325;1324;;
cmfcmf;1;1343;;;
ygge;1;1346;;;
cjbush;1;1381;;;
GregOriol;1;1382;;;
llibicpep;1;1409;;;
cschoell;1;1427;;;
mar-io;1;1457;;;
metaspace;1;1465;;;
ruoxijiang;1;1471;;;
oharboe;1;1478;;;
olenz;2;1535;145;;
jieryn;1;1537;;;
baskaran-md;1;1544;;;
draugz;1;1545;;;
brunocarneiro;1;1582;;;
chynten;2;1602;1599;;
mmlegrand;1;1605;;;
sathiya-mit;1;1632;;;
raintean;1;1646;;;
dietmax;1;1695;;;
jhoblitt;1;1718;;;
ari;1;1746;;;
gv2011;2;1752;1751;;
rolsdorph;1;1769;;;
hashar;1;1775;;;
Jochen-A-Fuerbacher;1;1792;;;
mrooney;1;1829;;;
vvv444;1;1844;;;
jninnes;1;1885;;;
seryl;2;1909;1901;;
Grizzlyt;1;1903;;;
paulmillar;1;1906;;;
ScoobyChris;2;1912;1911;;
RCFans;1;1925;;;
ngksternhagen;1;1944;;;
lukaszkarnasiewicz;2;1947;1946;;
NBardelot;1;1954;;;
vvitayau;1;1966;;;
ozcanovunc;1;2005;;;
OscarRobertRodriguez;1;2030;;;
ajub;3;189;96;91;
wgriffiths;1;190;;;
ffo;1;192;;;
thomasmorse;1;209;;;
sshekher;1;212;;;
fieldmar;1;215;;;
simoleone;1;224;;;
awarddev;1;229;;;
ralfEdmund;1;237;;;
isware;1;240;;;
stefanbrausch;1;241;;;
cspotcode;1;246;;;
freimair;2;259;257;;
rborer;3;1045;452;281;
jaakkopaakkonen;1;288;;;
illicitonion;1;290;;;
emanuelez;4;523;449;446;303
motlin;1;305;;;
justinedelson;1;306;;;
blueyed;1;308;;;
mzs-github;1;312;;;
Elbandi;2;321;314;;
costincaraivan;1;322;;;
nolanlawson;1;324;;;
albert-so;1;326;;;
tivv;1;330;;;
kiy0taka;1;336;;;
blalor;1;340;;;
DracoAter;1;345;;;
deruyter;3;351;350;347;
kisielk;1;363;;;
baileys;3;372;369;368;
thors;4;519;426;388;387
PerilousApricot;1;390;;;
kayabendroth;1;414;;;
slavino;1;420;;;
commana;1;423;;;
dserodio;1;434;;;
gscheibel;1;447;;;
rpetti;1;450;;;
ccosby;3;456;105;103;
davehunt;1;459;;;
dreiss;1;469;;;
BerkOFF;3;499;482;473;
edalquist;1;477;;;
bmoyles;1;478;;;
fma1977;1;481;;;
jasonhowk;1;483;;;
murank;1;486;;;
dharmsheta;1;487;;;
edenman;1;497;;;
buckett;1;498;;;
astellingwerf;1;501;;;
jackhaughton;1;502;;;
msabramo;1;510;;;
rafatower;1;513;;;
vincentkok;1;520;;;
douglarek;1;521;;;
dapak;1;534;;;
BrianAker;1;538;;;
scarytom;1;547;;;
joantune;1;550;;;
CIPO-GIT;1;554;;;
schendel;2;560;557;;
usultis;1;574;;;
maddingo;1;587;;;
bols-blue;1;605;;;
cjbarker;1;619;;;
jhansche;1;622;;;
tbrugz;1;623;;;
jlehtnie;1;625;;;
argoyle;1;644;;;
hanabishi;2;931;665;;
acmyo;1;672;;;
bitwisekaizen;1;674;;;
RichardBradley;1;676;;;
theotonne;1;677;;;
snallami;1;685;;;
tsartarzan;1;688;;;
jmcnally;2;700;695;;
zbuza;1;709;;;
cynipe;2;715;713;;
bilbothebaggins;1;739;;;
woohgit;1;747;;;
CoRfr;1;750;;;
andrewcooke;1;762;;;
md-5;1;777;;;
hanabishi-se;1;782;;;
orgads;1;838;;;
rbierman;2;906;839;;
precisiondev;1;840;;;
wsoula;1;846;;;
adamretter;1;858;;;
nullin;2;927;873;;
samgiles;1;910;;;
rednuht;1;912;;;
ravepen;1;926;;;
artem-kirillov-gd;1;932;;;
christoe;1;933;;;
gustavohenrique;1;940;;;
hoodja;1;945;;;
mathieu-pousse;1;954;;;
scoheb;1;955;;;
mcupak;3;1027;974;962;
svogt;1;963;;;
mblair;1;1002;;;
ThmX;1;1007;;;
alexrovner;2;1218;1008;;
spariev;1;1025;;;
laserpony;1;1028;;;
PatchRanger;1;1035;;;
job;1;1065;;;
bguerin;1;1079;;;
djw1149;1;1096;;;
mjstrasser;1;1121;;;
greydet;1;1136;;;
ronkorland;1;1177;;;
bhamail;1;1181;;;
mheil;1;1255;;;
steve-jansen;1;1267;;;
jakubczaplicki;1;1273;;;
modelga;1;1295;;;
deweerdt;2;1309;1300;;
jmurphyau;1;2069;;;
dharam1;1;2075;;;
jcarrothers-sap;1;2084;;;
DenysLins;1;2085;;;
jart;1;2086;;;
lexxxel;1;2099;;;
msdinesh07;1;2149;;;
arshdkhn1;1;2168;;;
samatdav;4;2501;2462;2461;2388
joyyc;1;2409;;;
mohamed-el-habib;1;2422;;;
JochenHayek;1;2505;;;
i386;1;2520;;;
ryanpudd;1;2531;;;
wikimore;1;2552;;;
rachelcarmena;3;2615;2614;2613;
akashfoss;1;2617;;;
tricketg;1;2648;;;
sT331h0rs3;1;2669;;;
wojciechk;1;2670;;;
jacob-keller;1;2684;;;
UladzimirSemiankou;1;2720;;;
tkisme;1;2748;;;
