jlleblanc;2;218;3;;;;;;;;;;;;;;;;;;
kyleledbetter;6;529;449;444;443;37;5;;;;;;;;;;;;;;
tbela99;1;22;;;;;;;;;;;;;;;;;;;
TBK0000;2;44;28;;;;;;;;;;;;;;;;;;
drmmr763;12;3788;1761;1760;1759;1253;1252;1241;1228;1225;1224;1223;40;;;;;;;;
carson3511;1;64;;;;;;;;;;;;;;;;;;;
montano;1;79;;;;;;;;;;;;;;;;;;;
gpongelli;6;507;384;307;169;166;84;;;;;;;;;;;;;;
WebMechanic;3;132;131;88;;;;;;;;;;;;;;;;;
Naouak;2;741;90;;;;;;;;;;;;;;;;;;
wicaksono;2;92;91;;;;;;;;;;;;;;;;;;
simbus82;1;97;;;;;;;;;;;;;;;;;;;
M-Falken;1;104;;;;;;;;;;;;;;;;;;;
ahmadrusli;3;110;109;108;;;;;;;;;;;;;;;;;
advans;1;115;;;;;;;;;;;;;;;;;;;
rcorral;1;116;;;;;;;;;;;;;;;;;;;
fxstein;1;120;;;;;;;;;;;;;;;;;;;
pollen8;5;7126;2092;2061;707;123;;;;;;;;;;;;;;;
j16sdiz;1;125;;;;;;;;;;;;;;;;;;;
pepellou;1;128;;;;;;;;;;;;;;;;;;;
klauswilms;2;138;129;;;;;;;;;;;;;;;;;;
qawemlilo;1;136;;;;;;;;;;;;;;;;;;;
benjaminpick;3;229;160;143;;;;;;;;;;;;;;;;;
AstDerek;2;152;151;;;;;;;;;;;;;;;;;;
JonahBraun;2;154;153;;;;;;;;;;;;;;;;;;
cheryeong;3;736;735;159;;;;;;;;;;;;;;;;;
AndOne1974;1;165;;;;;;;;;;;;;;;;;;;
aaronschmitz;4;562;347;318;168;;;;;;;;;;;;;;;;
projeteweb;1;177;;;;;;;;;;;;;;;;;;;
wdaniels;3;199;198;185;;;;;;;;;;;;;;;;;
rvsjoen;2;719;189;;;;;;;;;;;;;;;;;;
fititnt;1;190;;;;;;;;;;;;;;;;;;;
ilhooq;1;192;;;;;;;;;;;;;;;;;;;
dgasparri;2;194;193;;;;;;;;;;;;;;;;;;
florianv;1;196;;;;;;;;;;;;;;;;;;;
seanredmond;1;200;;;;;;;;;;;;;;;;;;;
amh-mw;1;208;;;;;;;;;;;;;;;;;;;
twentronix;4;1243;716;638;214;;;;;;;;;;;;;;;;
mlipscomb;1;215;;;;;;;;;;;;;;;;;;;
krileon;2;217;216;;;;;;;;;;;;;;;;;;
kropatschek;1;245;;;;;;;;;;;;;;;;;;;
vess;1;250;;;;;;;;;;;;;;;;;;;
paty1melo;3;253;252;251;;;;;;;;;;;;;;;;;
Chris-Jones-Gill;3;2494;655;259;;;;;;;;;;;;;;;;;
vovtz;1;260;;;;;;;;;;;;;;;;;;;
asisti;2;263;262;;;;;;;;;;;;;;;;;;
pborreli;1;279;;;;;;;;;;;;;;;;;;;
upsj;1;285;;;;;;;;;;;;;;;;;;;
andreatarr;16;1298;456;451;450;447;446;438;422;394;393;380;357;342;308;299;289;;;;
bradp;1;292;;;;;;;;;;;;;;;;;;;
vipantonio;2;333;320;;;;;;;;;;;;;;;;;;
case303;2;336;321;;;;;;;;;;;;;;;;;;
juliopontes;5;758;505;472;432;327;;;;;;;;;;;;;;;
enav;1;337;;;;;;;;;;;;;;;;;;;
angieradtke;1;340;;;;;;;;;;;;;;;;;;;
andergmartins;6;5342;2666;2662;2660;731;356;;;;;;;;;;;;;;
willfaulds;1;372;;;;;;;;;;;;;;;;;;;
jneubauer;7;7653;7549;7548;848;398;397;396;;;;;;;;;;;;;
samtlewis;1;454;;;;;;;;;;;;;;;;;;;
Helrunar;1;462;;;;;;;;;;;;;;;;;;;
Serhioromano;4;1563;1119;468;467;;;;;;;;;;;;;;;;
judgestone;1;471;;;;;;;;;;;;;;;;;;;
mneri;1;477;;;;;;;;;;;;;;;;;;;
chalak;3;485;484;483;;;;;;;;;;;;;;;;;
joomla-coder;1;494;;;;;;;;;;;;;;;;;;;
bcordis;3;954;952;496;;;;;;;;;;;;;;;;;
Kodemon;1;501;;;;;;;;;;;;;;;;;;;
marcanuy;3;2417;726;502;;;;;;;;;;;;;;;;;
obsidev;7;3690;2475;2464;2463;1508;1240;504;;;;;;;;;;;;;
jmcameron;5;2842;976;975;647;509;;;;;;;;;;;;;;;
dustwolf;7;654;516;515;514;513;512;511;;;;;;;;;;;;;
jewei;1;525;;;;;;;;;;;;;;;;;;;
BenkiNew;1;528;;;;;;;;;;;;;;;;;;;
poes-weather;1;531;;;;;;;;;;;;;;;;;;;
JonasBrand;1;533;;;;;;;;;;;;;;;;;;;
guilleva;1;541;;;;;;;;;;;;;;;;;;;
nickanti;15;2324;617;616;615;614;613;612;611;610;609;585;584;567;566;542;;;;;
pilou-;1;545;;;;;;;;;;;;;;;;;;;
dfritsch;5;3913;3591;1772;559;556;;;;;;;;;;;;;;;
piggydoughnut;2;596;569;;;;;;;;;;;;;;;;;;
danyj;1;571;;;;;;;;;;;;;;;;;;;
julienV;6;3502;1959;1523;879;779;583;;;;;;;;;;;;;;
makru83;1;587;;;;;;;;;;;;;;;;;;;
jan/23;1;588;;;;;;;;;;;;;;;;;;;
isalcedo;1;604;;;;;;;;;;;;;;;;;;;
CristinaSolana;4;4095;625;607;606;;;;;;;;;;;;;;;;
aekboy2010;1;608;;;;;;;;;;;;;;;;;;;
thinkerytim;1;622;;;;;;;;;;;;;;;;;;;
aleks-linya;9;1108;1073;864;862;729;715;703;666;650;;;;;;;;;;;
tessamero;3;1210;740;651;;;;;;;;;;;;;;;;;
ced1870;2;8693;658;;;;;;;;;;;;;;;;;;
Networlds;1;663;;;;;;;;;;;;;;;;;;;
griiettner;2;3872;671;;;;;;;;;;;;;;;;;;
andrewnester;4;3397;3286;2338;679;;;;;;;;;;;;;;;;
gauthierl;3;690;686;683;;;;;;;;;;;;;;;;;
SeanClement;1;696;;;;;;;;;;;;;;;;;;;
fitorec;2;724;700;;;;;;;;;;;;;;;;;;
minijoomla;10;3790;2721;2720;2719;2659;2647;2606;2287;1414;706;;;;;;;;;;
norbertschad;2;712;711;;;;;;;;;;;;;;;;;;
Lemings;10;2049;1034;912;826;821;783;771;770;754;723;;;;;;;;;;
babsgosgens;1;727;;;;;;;;;;;;;;;;;;;
rcarey;2;747;734;;;;;;;;;;;;;;;;;;
eaxs;1;737;;;;;;;;;;;;;;;;;;;
alexanderkjall;1;744;;;;;;;;;;;;;;;;;;;
HLeithner;1;745;;;;;;;;;;;;;;;;;;;
alwarren;1;756;;;;;;;;;;;;;;;;;;;
aapis;1;772;;;;;;;;;;;;;;;;;;;
matthewtbaker;1;780;;;;;;;;;;;;;;;;;;;
samwilson;1;804;;;;;;;;;;;;;;;;;;;
ercanozkaya;1;808;;;;;;;;;;;;;;;;;;;
bentasker;20;1012;1011;998;995;994;993;992;983;868;867;866;865;836;820;819;817;816;815;812;810
genu;2;3863;843;;;;;;;;;;;;;;;;;;
garkell;4;10673;892;891;846;;;;;;;;;;;;;;;;
G3z;1;860;;;;;;;;;;;;;;;;;;;
Eddy-vh;1;872;;;;;;;;;;;;;;;;;;;
joomla-agency;3;6444;916;915;;;;;;;;;;;;;;;;;
MDunkleSr;3;2771;2766;946;;;;;;;;;;;;;;;;;
iansgoldstein;1;948;;;;;;;;;;;;;;;;;;;
fede91it;1;949;;;;;;;;;;;;;;;;;;;
andywer;1;972;;;;;;;;;;;;;;;;;;;
novinfard;1;980;;;;;;;;;;;;;;;;;;;
crperk44;2;1024;1007;;;;;;;;;;;;;;;;;;
owerDozza;1;1044;;;;;;;;;;;;;;;;;;;
AmirolAhmad;2;1051;1048;;;;;;;;;;;;;;;;;;
dtdpro;1;1058;;;;;;;;;;;;;;;;;;;
joe-miller;1;1060;;;;;;;;;;;;;;;;;;;
yylyyl;3;1095;1092;1071;;;;;;;;;;;;;;;;;
rhertogh;1;1075;;;;;;;;;;;;;;;;;;;
thimalk;1;1090;;;;;;;;;;;;;;;;;;;
rlerdorf;1;1102;;;;;;;;;;;;;;;;;;;
beneberle;1;1121;;;;;;;;;;;;;;;;;;;
aaronhudon;1;1136;;;;;;;;;;;;;;;;;;;
amouhzi;1;1158;;;;;;;;;;;;;;;;;;;
bnisevic;2;1496;1207;;;;;;;;;;;;;;;;;;
zanardigit;2;2024;1211;;;;;;;;;;;;;;;;;;
jklein;1;1234;;;;;;;;;;;;;;;;;;;
kingarthurpt;2;1262;1261;;;;;;;;;;;;;;;;;;
bhavya-nick;1;1268;;;;;;;;;;;;;;;;;;;
wouerner;1;1281;;;;;;;;;;;;;;;;;;;
JustPlainHigh;2;1296;1295;;;;;;;;;;;;;;;;;;
yurii-github;1;1309;;;;;;;;;;;;;;;;;;;
jhattara;1;1310;;;;;;;;;;;;;;;;;;;
freakySevi;1;1314;;;;;;;;;;;;;;;;;;;
Jiwoks;3;3847;2189;1318;;;;;;;;;;;;;;;;;
EsterniTY;1;1369;;;;;;;;;;;;;;;;;;;
zinferro;1;1415;;;;;;;;;;;;;;;;;;;
Sandra97;1;1432;;;;;;;;;;;;;;;;;;;
adidac;1;1447;;;;;;;;;;;;;;;;;;;
jcata;1;1457;;;;;;;;;;;;;;;;;;;
duongredweb;5;1482;1480;1469;1462;1461;;;;;;;;;;;;;;;
luredweb;8;1827;1826;1488;1487;1479;1468;1465;1463;;;;;;;;;;;;
khairedweb;4;1546;1492;1476;1464;;;;;;;;;;;;;;;;
locredweb;4;1494;1489;1470;1466;;;;;;;;;;;;;;;;
sergiois;2;1506;1501;;;;;;;;;;;;;;;;;;
djeu007;4;1512;1510;1507;1502;;;;;;;;;;;;;;;;
tompap;1;1511;;;;;;;;;;;;;;;;;;;
nachomora;1;1520;;;;;;;;;;;;;;;;;;;
nextend;1;1547;;;;;;;;;;;;;;;;;;;
yama;1;1548;;;;;;;;;;;;;;;;;;;
BastianWie;2;1703;1557;;;;;;;;;;;;;;;;;;
elpescador-nl;1;1570;;;;;;;;;;;;;;;;;;;
jariza;1;1577;;;;;;;;;;;;;;;;;;;
aheinze;1;1609;;;;;;;;;;;;;;;;;;;
oasisfleeting;1;1614;;;;;;;;;;;;;;;;;;;
ErvisTusha;1;1629;;;;;;;;;;;;;;;;;;;
pdxfixit;2;1859;1637;;;;;;;;;;;;;;;;;;
yajiedesign;2;1695;1677;;;;;;;;;;;;;;;;;;
epicdog;2;1728;1727;;;;;;;;;;;;;;;;;;
palyga007;1;1733;;;;;;;;;;;;;;;;;;;
anothercoder;5;1749;1738;1737;1736;1735;;;;;;;;;;;;;;;
syncsynchalt;1;1752;;;;;;;;;;;;;;;;;;;
thismahbub;2;4291;1793;;;;;;;;;;;;;;;;;;
kheruc;1;1795;;;;;;;;;;;;;;;;;;;
neverendingo;1;1807;;;;;;;;;;;;;;;;;;;
mchesh;1;1837;;;;;;;;;;;;;;;;;;;
Netvisions;6;1905;1891;1890;1885;1883;1843;;;;;;;;;;;;;;
lszeremeta;3;1888;1887;1886;;;;;;;;;;;;;;;;;
fxdm92;1;1945;;;;;;;;;;;;;;;;;;;
colby-swandale;1;1951;;;;;;;;;;;;;;;;;;;
isamrx;1;1952;;;;;;;;;;;;;;;;;;;
noradtux;1;1954;;;;;;;;;;;;;;;;;;;
mManishTrivedi;2;3432;1995;;;;;;;;;;;;;;;;;;
JoshuaLewis;1;2020;;;;;;;;;;;;;;;;;;;
Batch1211;1;2026;;;;;;;;;;;;;;;;;;;
particthistle;1;2053;;;;;;;;;;;;;;;;;;;
rawcat;1;2054;;;;;;;;;;;;;;;;;;;
jatitoam;6;4812;4810;4793;2586;2585;2075;;;;;;;;;;;;;;
WooDzu;4;2708;2695;2689;2078;;;;;;;;;;;;;;;;
dypsys;2;3428;2096;;;;;;;;;;;;;;;;;;
sam-suresh;2;8549;2104;;;;;;;;;;;;;;;;;;
juelisjr;2;3596;2113;;;;;;;;;;;;;;;;;;
Hutchy68;1;2131;;;;;;;;;;;;;;;;;;;
elasbandis;1;2148;;;;;;;;;;;;;;;;;;;
creativeprogramming;3;9382;4908;2150;;;;;;;;;;;;;;;;;
phalouvas;2;2436;2195;;;;;;;;;;;;;;;;;;
ssv445;2;10138;2197;;;;;;;;;;;;;;;;;;
hovardkr;2;2215;2199;;;;;;;;;;;;;;;;;;
asuckar;1;2305;;;;;;;;;;;;;;;;;;;
dex4er;2;2351;2350;;;;;;;;;;;;;;;;;;
csbenjamin;1;2357;;;;;;;;;;;;;;;;;;;
jtherczeg;5;9030;2410;2375;2373;2372;;;;;;;;;;;;;;;
TJacksonVA;3;3621;3620;2378;;;;;;;;;;;;;;;;;
mmleoni;1;2419;;;;;;;;;;;;;;;;;;;
