chtitux;1;60;;;;;;;;;;;;;;;;;;;;;;;;
Keruspe;2;65;63;;;;;;;;;;;;;;;;;;;;;;;
acmorrow;1;66;;;;;;;;;;;;;;;;;;;;;;;;
swapsmagic;1;69;;;;;;;;;;;;;;;;;;;;;;;;
boivie;2;181;72;;;;;;;;;;;;;;;;;;;;;;;
nwin;1;73;;;;;;;;;;;;;;;;;;;;;;;;
nhooey;1;74;;;;;;;;;;;;;;;;;;;;;;;;
nickbruun;1;75;;;;;;;;;;;;;;;;;;;;;;;;
flaper87;1;78;;;;;;;;;;;;;;;;;;;;;;;;
karlseguin;3;127;106;79;;;;;;;;;;;;;;;;;;;;;;
pc;1;80;;;;;;;;;;;;;;;;;;;;;;;;
mlazarov;1;83;;;;;;;;;;;;;;;;;;;;;;;;
mbj;1;84;;;;;;;;;;;;;;;;;;;;;;;;
rnrn;1;90;;;;;;;;;;;;;;;;;;;;;;;;
reidmorrison;1;91;;;;;;;;;;;;;;;;;;;;;;;;
jmbejar;1;94;;;;;;;;;;;;;;;;;;;;;;;;
leejo;1;111;;;;;;;;;;;;;;;;;;;;;;;;
jlpc;1;131;;;;;;;;;;;;;;;;;;;;;;;;
Ry4an;1;136;;;;;;;;;;;;;;;;;;;;;;;;
sethml;1;138;;;;;;;;;;;;;;;;;;;;;;;;
jhuntwork;2;140;139;;;;;;;;;;;;;;;;;;;;;;;
jamespharaoh;1;142;;;;;;;;;;;;;;;;;;;;;;;;
larroy;4;208;193;191;145;;;;;;;;;;;;;;;;;;;;;
r-stu31;1;149;;;;;;;;;;;;;;;;;;;;;;;;
wpjunior;1;153;;;;;;;;;;;;;;;;;;;;;;;;
evanlong;1;157;;;;;;;;;;;;;;;;;;;;;;;;
dibiasio;1;159;;;;;;;;;;;;;;;;;;;;;;;;
tedb;1;163;;;;;;;;;;;;;;;;;;;;;;;;
reflection;1;164;;;;;;;;;;;;;;;;;;;;;;;;
larubbio;1;165;;;;;;;;;;;;;;;;;;;;;;;;
tanakh;1;166;;;;;;;;;;;;;;;;;;;;;;;;
weyrick;4;237;229;228;168;;;;;;;;;;;;;;;;;;;;;
jsr;3;178;176;170;;;;;;;;;;;;;;;;;;;;;;
tomassrnka;1;174;;;;;;;;;;;;;;;;;;;;;;;;
yanfoursquare;1;177;;;;;;;;;;;;;;;;;;;;;;;;
jjuran;2;189;188;;;;;;;;;;;;;;;;;;;;;;;
osheroff;2;194;192;;;;;;;;;;;;;;;;;;;;;;;
janimo;5;203;202;201;198;196;;;;;;;;;;;;;;;;;;;;
chx007;1;197;;;;;;;;;;;;;;;;;;;;;;;;
mengz0;1;199;;;;;;;;;;;;;;;;;;;;;;;;
onyxmaster;1;210;;;;;;;;;;;;;;;;;;;;;;;;
JakubOboza;1;211;;;;;;;;;;;;;;;;;;;;;;;;
victorkab;1;212;;;;;;;;;;;;;;;;;;;;;;;;
afchin;1;213;;;;;;;;;;;;;;;;;;;;;;;;
amcfague;5;221;218;217;216;215;;;;;;;;;;;;;;;;;;;;
lcapaldo;1;219;;;;;;;;;;;;;;;;;;;;;;;;
jpfarias;1;220;;;;;;;;;;;;;;;;;;;;;;;;
waitman;2;230;226;;;;;;;;;;;;;;;;;;;;;;;
ebroder;2;1099;227;;;;;;;;;;;;;;;;;;;;;;;
devimplode;1;244;;;;;;;;;;;;;;;;;;;;;;;;
e-siedler;1;253;;;;;;;;;;;;;;;;;;;;;;;;
davidagraf;2;255;254;;;;;;;;;;;;;;;;;;;;;;;
joshprice;1;260;;;;;;;;;;;;;;;;;;;;;;;;
hrldcpr;1;264;;;;;;;;;;;;;;;;;;;;;;;;
kalman5;2;269;266;;;;;;;;;;;;;;;;;;;;;;;
guilhem;2;454;267;;;;;;;;;;;;;;;;;;;;;;;
christkv;7;1004;600;571;370;366;365;268;;;;;;;;;;;;;;;;;;
RedBeard0531;1;272;;;;;;;;;;;;;;;;;;;;;;;;
gjmurakami-10gen;1;277;;;;;;;;;;;;;;;;;;;;;;;;
crumbjp;2;359;278;;;;;;;;;;;;;;;;;;;;;;;
Kwasniewski;2;291;286;;;;;;;;;;;;;;;;;;;;;;;
samuelgmartinez;1;294;;;;;;;;;;;;;;;;;;;;;;;;
dsch;3;301;300;295;;;;;;;;;;;;;;;;;;;;;;
silver-;1;297;;;;;;;;;;;;;;;;;;;;;;;;
cuppett;1;298;;;;;;;;;;;;;;;;;;;;;;;;
svenstaro;1;299;;;;;;;;;;;;;;;;;;;;;;;;
kimuraw;1;306;;;;;;;;;;;;;;;;;;;;;;;;
RexMorgan;1;307;;;;;;;;;;;;;;;;;;;;;;;;
bwaldvogel;3;408;392;311;;;;;;;;;;;;;;;;;;;;;;
pborreli;1;314;;;;;;;;;;;;;;;;;;;;;;;;
danieltahara;1;319;;;;;;;;;;;;;;;;;;;;;;;;
glasser;1;320;;;;;;;;;;;;;;;;;;;;;;;;
abhijit-pawar;9;440;438;433;428;427;425;423;421;331;;;;;;;;;;;;;;;;
sl33nyc;2;638;334;;;;;;;;;;;;;;;;;;;;;;;
dprokoptsev;1;335;;;;;;;;;;;;;;;;;;;;;;;;
nleite;2;1083;336;;;;;;;;;;;;;;;;;;;;;;;
gochenzl;2;339;337;;;;;;;;;;;;;;;;;;;;;;;
patrikfors;1;338;;;;;;;;;;;;;;;;;;;;;;;;
Abe149;1;340;;;;;;;;;;;;;;;;;;;;;;;;
kommit;1;341;;;;;;;;;;;;;;;;;;;;;;;;
tmtmtm;5;346;345;344;343;342;;;;;;;;;;;;;;;;;;;;
miquella;1;347;;;;;;;;;;;;;;;;;;;;;;;;
fvetsper;1;349;;;;;;;;;;;;;;;;;;;;;;;;
alaz;1;350;;;;;;;;;;;;;;;;;;;;;;;;
MathieuTurcotte;1;351;;;;;;;;;;;;;;;;;;;;;;;;
marians;1;361;;;;;;;;;;;;;;;;;;;;;;;;
abdelouahabb;2;364;363;;;;;;;;;;;;;;;;;;;;;;;
barriesegal;2;368;367;;;;;;;;;;;;;;;;;;;;;;;
ashaffer;1;371;;;;;;;;;;;;;;;;;;;;;;;;
dwight;1;373;;;;;;;;;;;;;;;;;;;;;;;;
andredefrere;2;390;376;;;;;;;;;;;;;;;;;;;;;;;
chipitsine;1;377;;;;;;;;;;;;;;;;;;;;;;;;
sridharn;3;383;382;378;;;;;;;;;;;;;;;;;;;;;;
stbenjam;1;379;;;;;;;;;;;;;;;;;;;;;;;;
allanbank;3;452;442;381;;;;;;;;;;;;;;;;;;;;;;
ignatz;1;384;;;;;;;;;;;;;;;;;;;;;;;;
saml;1;386;;;;;;;;;;;;;;;;;;;;;;;;
chergert;1;391;;;;;;;;;;;;;;;;;;;;;;;;
thiagooak;1;393;;;;;;;;;;;;;;;;;;;;;;;;
ajdavis;25;1089;863;861;859;856;854;848;847;835;639;628;536;535;534;525;517;503;485;484;483;450;402;398;397;396
vasmik;1;400;;;;;;;;;;;;;;;;;;;;;;;;
rueckstiess;3;923;708;401;;;;;;;;;;;;;;;;;;;;;;
nubs;1;403;;;;;;;;;;;;;;;;;;;;;;;;
KonishchevDmitry;2;406;405;;;;;;;;;;;;;;;;;;;;;;;
cxmcc;3;473;412;407;;;;;;;;;;;;;;;;;;;;;;
base698;1;409;;;;;;;;;;;;;;;;;;;;;;;;
alexism;2;411;410;;;;;;;;;;;;;;;;;;;;;;;
syntion;1;413;;;;;;;;;;;;;;;;;;;;;;;;
snebjorn;1;414;;;;;;;;;;;;;;;;;;;;;;;;
vlajos;1;415;;;;;;;;;;;;;;;;;;;;;;;;
jcalvinowens;1;416;;;;;;;;;;;;;;;;;;;;;;;;
xiezhenye;1;417;;;;;;;;;;;;;;;;;;;;;;;;
fmela;1;419;;;;;;;;;;;;;;;;;;;;;;;;
saifelse;1;420;;;;;;;;;;;;;;;;;;;;;;;;
lawcen;1;422;;;;;;;;;;;;;;;;;;;;;;;;
basak;2;582;426;;;;;;;;;;;;;;;;;;;;;;;
rbrito;1;429;;;;;;;;;;;;;;;;;;;;;;;;
svetlyak40wt;1;430;;;;;;;;;;;;;;;;;;;;;;;;
DmitryNaumov;1;431;;;;;;;;;;;;;;;;;;;;;;;;
aheck;1;432;;;;;;;;;;;;;;;;;;;;;;;;
Aricg;5;439;437;436;435;434;;;;;;;;;;;;;;;;;;;;
idank;1;443;;;;;;;;;;;;;;;;;;;;;;;;
jsheely;1;444;;;;;;;;;;;;;;;;;;;;;;;;
bjori;6;1108;1051;1006;773;772;445;;;;;;;;;;;;;;;;;;;
gianpaj;3;964;655;449;;;;;;;;;;;;;;;;;;;;;;
nickstenning;1;451;;;;;;;;;;;;;;;;;;;;;;;;
nosqldb;2;489;453;;;;;;;;;;;;;;;;;;;;;;;
edaniels;11;470;469;468;466;465;462;461;460;459;458;457;;;;;;;;;;;;;;
i80and;3;1044;1005;463;;;;;;;;;;;;;;;;;;;;;;
msven;1;464;;;;;;;;;;;;;;;;;;;;;;;;
timn;2;474;471;;;;;;;;;;;;;;;;;;;;;;;
william-tan;1;472;;;;;;;;;;;;;;;;;;;;;;;;
mohyt;1;475;;;;;;;;;;;;;;;;;;;;;;;;
astral303;1;476;;;;;;;;;;;;;;;;;;;;;;;;
3rf;15;884;825;620;578;575;533;508;507;500;499;488;480;479;478;477;;;;;;;;;;
pilliq;4;494;493;482;481;;;;;;;;;;;;;;;;;;;;;
dribba;1;486;;;;;;;;;;;;;;;;;;;;;;;;
mikehcox;1;487;;;;;;;;;;;;;;;;;;;;;;;;
erlichson;2;800;491;;;;;;;;;;;;;;;;;;;;;;;
visualzhou;11;649;647;641;640;634;631;627;531;529;498;492;;;;;;;;;;;;;;
duanguoxue;4;524;497;496;495;;;;;;;;;;;;;;;;;;;;;
idning;1;501;;;;;;;;;;;;;;;;;;;;;;;;
geoghegan;1;505;;;;;;;;;;;;;;;;;;;;;;;;
mgrundy;1;506;;;;;;;;;;;;;;;;;;;;;;;;
behackett;2;870;510;;;;;;;;;;;;;;;;;;;;;;;
zuckschwerdt;1;512;;;;;;;;;;;;;;;;;;;;;;;;
x;1;515;;;;;;;;;;;;;;;;;;;;;;;;
jpiche;1;516;;;;;;;;;;;;;;;;;;;;;;;;
alonho;1;518;;;;;;;;;;;;;;;;;;;;;;;;
FGM;1;521;;;;;;;;;;;;;;;;;;;;;;;;
nevermindewe;1;528;;;;;;;;;;;;;;;;;;;;;;;;
shunwen;1;537;;;;;;;;;;;;;;;;;;;;;;;;
rajatchopra;1;543;;;;;;;;;;;;;;;;;;;;;;;;
deafgoat;5;798;659;658;564;546;;;;;;;;;;;;;;;;;;;;
rps;3;588;580;549;;;;;;;;;;;;;;;;;;;;;;
vkarpov15;5;777;669;642;592;554;;;;;;;;;;;;;;;;;;;;
FrancescaK;2;589;560;;;;;;;;;;;;;;;;;;;;;;;
Krolcom;1;567;;;;;;;;;;;;;;;;;;;;;;;;
yorkie;1;569;;;;;;;;;;;;;;;;;;;;;;;;
jaredlwong;1;570;;;;;;;;;;;;;;;;;;;;;;;;
dbmurphy;2;688;572;;;;;;;;;;;;;;;;;;;;;;;
kgorman;2;710;587;;;;;;;;;;;;;;;;;;;;;;;
mwhudson;7;1077;793;672;614;613;612;591;;;;;;;;;;;;;;;;;;
akira-kurogane;4;898;896;609;593;;;;;;;;;;;;;;;;;;;;;
ranjaykrishna;1;594;;;;;;;;;;;;;;;;;;;;;;;;
lissom;4;991;656;623;597;;;;;;;;;;;;;;;;;;;;;
javacruft;3;707;705;602;;;;;;;;;;;;;;;;;;;;;;
lufeng1102;1;615;;;;;;;;;;;;;;;;;;;;;;;;
zhihuiFan;1;616;;;;;;;;;;;;;;;;;;;;;;;;
hallabro;1;617;;;;;;;;;;;;;;;;;;;;;;;;
jsbattig;4;624;622;619;618;;;;;;;;;;;;;;;;;;;;;
GitSullied;1;621;;;;;;;;;;;;;;;;;;;;;;;;
rohitkn;1;625;;;;;;;;;;;;;;;;;;;;;;;;
exi;1;630;;;;;;;;;;;;;;;;;;;;;;;;
arthurdarcet;1;633;;;;;;;;;;;;;;;;;;;;;;;;
ccstolley;1;636;;;;;;;;;;;;;;;;;;;;;;;;
NikolausDemmel;1;637;;;;;;;;;;;;;;;;;;;;;;;;
