pbyrne;1;1932;;;;;;;;
jfelchner;1;1977;;;;;;;;
benjaminleesmith;1;1994;;;;;;;;
pol;1;2019;;;;;;;;
ipoval;1;2044;;;;;;;;
arkadiyk;1;2062;;;;;;;;
tgildea;1;2072;;;;;;;;
sethvargo;1;1993;;;;;;;;
jkrall;1;2079;;;;;;;;
mdoza;1;2096;;;;;;;;
sespindola;2;14953;2170;;;;;;;
hmcfletch;2;5034;2175;;;;;;;
gkfabs;1;2180;;;;;;;;
unamashana;1;2200;;;;;;;;
jasnow;2;9736;2202;;;;;;;
gnagno;1;2206;;;;;;;;
skippy;1;2227;;;;;;;;
tanelsuurhans;1;2264;;;;;;;;
arthurpsmith;1;2323;;;;;;;;
zubin;1;2409;;;;;;;;
Arsen7;1;2418;;;;;;;;
olek;1;2423;;;;;;;;
JeanMertz;1;2432;;;;;;;;
fastcatch;1;2433;;;;;;;;
valakirka;1;2441;;;;;;;;
jigfox;3;13146;2664;2472;;;;;;
ehlertij;1;2480;;;;;;;;
thinkerbot;1;2481;;;;;;;;
moro;1;2482;;;;;;;;
aglasgall;1;2487;;;;;;;;
pootsbook;1;2505;;;;;;;;
tekwiz;2;2520;2515;;;;;;;
BrentWheeldon;1;2521;;;;;;;;
spangenberg;1;2529;;;;;;;;
german;1;2555;;;;;;;;
sandstrom;1;2578;;;;;;;;
ingeniarius;1;2599;;;;;;;;
karlseguin;2;2630;2617;;;;;;;
vrinek;1;2623;;;;;;;;
bartocc;1;2626;;;;;;;;
jroes;2;9552;2643;;;;;;;
god;1;2648;;;;;;;;
ivanvanderbyl;1;2649;;;;;;;;
dmajda;1;2658;;;;;;;;
sbounmy;2;3342;2698;;;;;;;
gutenye;1;2737;;;;;;;;
jaredonline;4;2754;317;282;268;;;;;
sergii-tkachenko;1;2790;;;;;;;;
joshnesbitt;1;2803;;;;;;;;
tanin47;4;2982;2929;2907;2810;;;;;
shairontoledo;1;2814;;;;;;;;
Coren;2;2819;2818;;;;;;;
edgarjs;2;2879;2837;;;;;;;
georg;1;2869;;;;;;;;
shwoodard;1;2881;;;;;;;;
dotdotdotpaul;1;2903;;;;;;;;
artemave;2;9156;2924;;;;;;;
alzeih;1;2934;;;;;;;;
etozzato;1;2990;;;;;;;;
BDQ;3;3004;1630;1567;;;;;;
invisiblellama;1;3008;;;;;;;;
elomarns;1;3009;;;;;;;;
defsdoor;1;3019;;;;;;;;
libo;1;3025;;;;;;;;
Godisemo;1;3050;;;;;;;;
mikebannister;1;3066;;;;;;;;
kimptoc;1;3079;;;;;;;;
Ninju;3;5886;3120;3108;;;;;;
zedtux;2;14068;3127;;;;;;;
geoffgarside;1;3132;;;;;;;;
vanderhoorn;2;3134;3133;;;;;;;
liwh;1;3180;;;;;;;;
drothlis;1;3187;;;;;;;;
bobbytables;2;5730;3206;;;;;;;
jcarlson;1;3228;;;;;;;;
mm1;1;3238;;;;;;;;
jacobo;6;9924;9908;9910;5950;5948;3240;;;
szymon-przybyl;1;3256;;;;;;;;
bzanchet;1;3298;;;;;;;;
jimherz;1;3302;;;;;;;;
szTheory;2;3304;3303;;;;;;;
hahahohokiss;2;3309;3308;;;;;;;
bbenezech;3;8615;3311;3310;;;;;;
emachnic;1;3327;;;;;;;;
DefV;1;3366;;;;;;;;
betamatt;1;3393;;;;;;;;
matthewford;1;3418;;;;;;;;
ozeias;1;3441;;;;;;;;
lparry;2;3444;3443;;;;;;;
apalmblad;1;3473;;;;;;;;
abyx;1;3484;;;;;;;;
amirmanji;1;3491;;;;;;;;
annismckenzie;1;3499;;;;;;;;
blakeeb;1;3524;;;;;;;;
fnando;1;3539;;;;;;;;
mkristian;1;3554;;;;;;;;
bonkydog;1;3605;;;;;;;;
mlangenberg;1;3610;;;;;;;;
quackingduck;1;3641;;;;;;;;
huacnlee;5;24544;17211;17208;13267;3659;;;;
chaffeqa;3;3706;3700;3699;;;;;;
moiristo;1;3708;;;;;;;;
ryanlecompte;1;3723;;;;;;;;
ciscoriordan;2;3795;3741;;;;;;;
jescalante;1;3745;;;;;;;;
rshubbard;1;3788;;;;;;;;
cheesecow;1;3791;;;;;;;;
scottvrosenthal;2;3802;3801;;;;;;;
pnegri;1;3807;;;;;;;;
zetter;1;3811;;;;;;;;
pimeys;1;3812;;;;;;;;
tmiller;2;3815;3814;;;;;;;
yopefonic;1;3826;;;;;;;;
caleywoods;1;3831;;;;;;;;
amackworth;1;3898;;;;;;;;
planetcohen;1;3910;;;;;;;;
dzuelke;1;3930;;;;;;;;
DevL;1;3938;;;;;;;;
anilg;2;3940;3939;;;;;;;
forrestc;1;3968;;;;;;;;
grigio;2;3983;3982;;;;;;;
codykrieger;1;4000;;;;;;;;
chrisfinne;2;14393;4003;;;;;;;
knf;1;4032;;;;;;;;
Psli;1;4047;;;;;;;;
jhlllnd;1;4134;;;;;;;;
clizzin;1;4146;;;;;;;;
flackou;1;4148;;;;;;;;
hlxwell;1;4176;;;;;;;;
borisd;2;4179;4178;;;;;;;
diasjorge;1;4232;;;;;;;;
xdite;3;7888;6977;4271;;;;;;
AstonJ;1;4312;;;;;;;;
threez;1;4318;;;;;;;;
coop;1;4341;;;;;;;;
bkabrda;1;4390;;;;;;;;
brentsowers1;6;4437;4436;4435;4407;4406;4405;;;
denisj;1;4410;;;;;;;;
dim;2;4428;4421;;;;;;;
jm;2;9983;4631;;;;;;;
danielfone;1;4663;;;;;;;;
hgwr;1;4688;;;;;;;;
p0deje;2;4700;4694;;;;;;;
cheerfulstoic;2;4759;1704;;;;;;;
natebird;1;4762;;;;;;;;
aia;1;4858;;;;;;;;
alexbartlow;3;11165;10920;4859;;;;;;
johnbintz;1;4874;;;;;;;;
patrick99e99;4;5217;5187;4885;4884;;;;;
andredurao;1;4948;;;;;;;;
billywatson;1;4974;;;;;;;;
cpetschnig;1;5008;;;;;;;;
lyleunderwood;1;5070;;;;;;;;
davidmles;1;5109;;;;;;;;
