mleventi;2;250;73;;;;;;
hungryblank;1;75;;;;;;;
maxpert;1;99;;;;;;;
idaunis;1;225;;;;;;;
zaa;1;240;;;;;;;
nike-17;1;251;;;;;;;
mcandre;2;311;309;;;;;;
tchajed;1;314;;;;;;;
0xffea;1;317;;;;;;;
pete0emerson;1;351;;;;;;;
hirose31;2;1155;355;;;;;;
micrypt;1;377;;;;;;;
amanelis;1;380;;;;;;;
skomski;3;406;405;381;;;;;
fritzy;2;411;410;;;;;;
slact;1;424;;;;;;;
rebx;1;463;;;;;;;
vijaydev;1;467;;;;;;;
alicebob;1;487;;;;;;;
idank;1;503;;;;;;;
pumasuede;1;513;;;;;;;
cwalsh;1;517;;;;;;;
cababunga;1;534;;;;;;;
msteinert;1;537;;;;;;;
christianparpart;1;554;;;;;;;
zircote;1;571;;;;;;;
eryx;1;578;;;;;;;
trapezoid;1;582;;;;;;;
mgp;2;1351;605;;;;;;
jroith;1;615;;;;;;;
rnamiki;1;629;;;;;;;
anfernee;1;644;;;;;;;
oscardelben;1;657;;;;;;;
liquidgecka;1;679;;;;;;;
kemitix;1;682;;;;;;;
aluzzardi;1;717;;;;;;;
bensie;1;719;;;;;;;
holic;1;729;;;;;;;
ambakshi;1;752;;;;;;;
manuelmeurer;2;1897;765;;;;;;
calebperkins;1;781;;;;;;;
donzell;1;790;;;;;;;
arsenm;1;795;;;;;;;
skx;1;827;;;;;;;
toice;1;829;;;;;;;
darashi;1;835;;;;;;;
tricknotes;2;848;836;;;;;;
ldm5180;4;2236;843;842;838;;;;
dubek;1;851;;;;;;;
doismellburning;1;854;;;;;;;
dvdplm;1;858;;;;;;;
ccding;3;897;880;878;;;;;
srned;1;908;;;;;;;
jimothyGator;1;909;;;;;;;
jiripospisil;1;927;;;;;;;
thorduri;1;945;;;;;;;
daniel-levin;2;951;950;;;;;;
chilts;1;960;;;;;;;
stamhe;6;982;976;975;974;973;971;;
papanikge;2;1507;988;;;;;;
danielbprice;1;997;;;;;;;
mezzatto;1;1012;;;;;;;
matteobaglini;1;1014;;;;;;;
jumping;2;1038;1037;;;;;;
dim;1;1051;;;;;;;
ripcurld0;6;1681;1227;1223;1222;1182;1055;;
sneakycain;1;1059;;;;;;;
xiaost7;2;1464;1062;;;;;;
melvyn-sopacua;1;1066;;;;;;;
bakwc;1;1076;;;;;;;
JensRantil;1;1102;;;;;;;
seifer;1;1108;;;;;;;
Bamco;1;1115;;;;;;;
jgeiger;1;1116;;;;;;;
jw2013;2;1498;1142;;;;;;
TrafeX;1;1146;;;;;;;
nsabine;1;1148;;;;;;;
