jansoe;2;573;243;;;
diogojc;1;348;;;;
bvtrach;1;429;;;;
cavorite;1;459;;;;
chermes;1;476;;;;
gwtaylor;1;563;;;;
leonpalafox;1;645;;;;
fcostin;1;650;;;;
schwarty;5;2561;2207;1982;1060;687
smoitra87;1;689;;;;
joonazzz;1;775;;;;
BenoitDamota;1;816;;;;
grenoya;1;827;;;;
tobigue;1;915;;;;
sgenoud;1;941;;;;
cricketsong;1;987;;;;
cjauvin;1;1087;;;;
ephes;5;5122;1135;1125;1124;1122
briancheung;2;1436;1165;;;
ynd;1;1200;;;;
guyrt;1;1286;;;;
coreylynch;2;1334;1297;;;
v3ss0n;2;1339;1338;;;
omangin;1;1348;;;;
pzc;1;1375;;;;
sjackman;1;1402;;;;
MarkyV;2;1502;1448;;;
sdicker8;1;1497;;;;
bcajes;2;1516;1498;;;
yedtoss;1;1503;;;;
wrichert;2;1735;1537;;;
mluessi;1;1583;;;;
RONNCC;1;1594;;;;
JohnFNovak;1;1611;;;;
basvandenberg;2;1623;1620;;;
dmollaaliod;1;1640;;;;
aflag;1;1682;;;;
dclambert;1;1714;;;;
archipleago-creature;1;1738;;;;
gatagat;2;3338;1746;;;
lqdc;3;1895;1821;1776;;
JakeMick;1;1786;;;;
yanirs;1;1806;;;;
flxb;1;1847;;;;
seamusabshere;1;1849;;;;
kevinhughes27;2;1885;1861;;;
stevekochscience;1;1866;;;;
luoq;1;1867;;;;
johnb30;1;1889;;;;
abhirk;1;1928;;;;
arnaudsj;1;1949;;;;
jmmcd;1;1969;;;;
dashesy;2;2340;1970;;;
nzer0;1;2026;;;;
andreas-hjortgaard;1;2030;;;;
IssamLaradji;4;3204;2680;2120;2099;
rspeer;2;2112;2106;;;
ccoovrey;2;2143;2117;;;
cleverless;1;2151;;;;
jzwinck;1;2158;;;;
har777;1;2177;;;;
sturlamolden;2;2313;2283;;;
jcrudy;1;2285;;;;
kpysniak;4;3751;2355;2347;2341;
alemagnani;1;2357;;;;
maciejkula;2;6188;2388;;;
cournape;1;2405;;;;
schmee;1;2413;;;;
honnix;1;2421;;;;
paulgb;1;2471;;;;
flukeskywalker;1;2478;;;;
jfelectron;1;2545;;;;
AndreaBravi;1;2547;;;;
hadsed;1;2549;;;;
romaniukm;2;2795;2587;;;
bdkearns;1;2595;;;;
whoisnanli;1;2599;;;;
craigdsthompson;1;2607;;;;
ilblackdragon;1;2616;;;;
czxcjx;1;2635;;;;
Melevir;1;2658;;;;
simomo;1;2677;;;;
arpangarg;1;2687;;;;
HapeMask;1;2784;;;;
lgarrison;1;2798;;;;
arahuja;1;2823;;;;
h10r;1;2832;;;;
ronvohra;1;2841;;;;
csytracy;2;2919;2860;;;
RWalecki;2;2871;2870;;;
chrisfilo;1;2874;;;;
rafacarrascosa;3;3488;2883;2881;;
justhalf;2;3957;2923;;;
andosa;2;4655;2937;;;
dhawaljoh;1;2950;;;;
y0ast;2;4745;2956;;;
d42;1;2978;;;;
l00pen;1;2979;;;;
fareshedayati;1;2984;;;;
naught101;1;2996;;;;
danstowell;1;2999;;;;
dougvk;1;3060;;;;
raulgarreta;1;3084;;;;
MikhailStartsev;1;3108;;;;
corydolphin;1;3110;;;;
hxu;1;3113;;;;
mrene;1;3125;;;;
t-pfaff;1;3136;;;;
zarch;1;3155;;;;
filthysocks;2;3181;3163;;;
aboSamoor;1;3194;;;;
mfeurer;1;3215;;;;
besser82;1;3229;;;;
scharron;2;4106;3264;;;
stefanv;2;3633;3279;;;
logicmd;1;3310;;;;
wgyn;1;3311;;;;
afshinrahimi;1;3329;;;;
lmatthieu;1;3348;;;;
robertwb;1;3352;;;;
chatcannon;1;3354;;;;
yelite;1;3359;;;;
gchers;1;3422;;;;
RolT;1;3426;;;;
freud14;1;3476;;;;
jatinshah;2;3531;3497;;;
jld23;1;3505;;;;
andaag;1;3519;;;;
jonathanronen;1;3525;;;;
makokal;1;3532;;;;
SamStudio8;1;3533;;;;
kaicheng;1;3558;;;;
Tafkas;2;3789;3568;;;
kashif;2;3657;3583;;;
SaurabhJha;3;3788;3784;3607;;
kain88-de;1;3613;;;;
0x0L;4;4094;3755;3675;3638;
mkneierV;1;3663;;;;
nathanathan;1;3670;;;;
hamiltonkibbe;1;3677;;;;
Qiucode;1;3679;;;;
mrterry;1;3680;;;;
BrianLondon;2;3708;3704;;;
MattpSoftware;1;3706;;;;
cocuh;1;3725;;;;
jiayiliu;1;3733;;;;
staple;1;3756;;;;
agileminor;2;3759;3757;;;
Garrett-R;1;3760;;;;
spitz-dan-l;1;3767;;;;
origingod;1;3787;;;;
yamaguchiyuto;2;6692;3816;;;
nicolamontecchio;1;3834;;;;
Alexander-N;1;3839;;;;
zeppe;2;3916;3901;;;
a4tunado;2;3911;3909;;;
dfletchermaths;1;3918;;;;
tvarvadoukas;1;3919;;;;
dblalock;1;3951;;;;
imkevinyang;1;3959;;;;
DanielSidhion;1;4001;;;;
cemoody;1;4025;;;;
wadawson;1;4039;;;;
nathankallus;1;4060;;;;
galv;1;4065;;;;
tomazc;1;4070;;;;
irogerthat;1;4088;;;;
seowyanyi;2;4121;4120;;;
cathydeng;1;4150;;;;
MMKrell;1;4169;;;;
nadersoliman;1;4177;;;;
fluctuation;1;4187;;;;
Treora;1;4205;;;;
gitter-badger;1;4247;;;;
Hasil-Sharma;1;4249;;;;
cangermueller;4;4594;4566;4440;4256;
chebee7i;1;4257;;;;
hannawallach;1;4285;;;;
eamartin;1;4286;;;;
mehdidc;1;4328;;;;
alexsavio;2;4365;4349;;;
DonBeo;1;4376;;;;
hhchen1105;1;4435;;;;
hzpc-joostk;1;4443;;;;
kshmelkov;1;4491;;;;
ThatGeoGuy;2;4635;4517;;;
jrings;2;4576;4575;;;
bmcfee;2;5914;4583;;;
christophesaintjean;1;4612;;;;
SnakeHunt2012;1;4621;;;;
owengbs;1;4673;;;;
BigCrunsh;1;4709;;;;
ermakovpetr;2;5900;4715;;;
laurentperrinet;1;4718;;;;
stuppie;2;7203;4788;;;
llllllllll;1;4798;;;;
lbillingham;1;4821;;;;
jaidevd;1;4823;;;;
pjknkda;1;4831;;;;
Carldeboer;1;4845;;;;
ryadzenine;3;4904;4903;4897;;
benjaminirving;1;4924;;;;
aupiff;2;4968;4941;;;
shopetan;1;4951;;;;
simon-pepin;2;4992;4987;;;
ubieting;1;5064;;;;
joewreschnig;1;5065;;;;
andrewgiessel;1;5083;;;;
vermouthmjl;1;5084;;;;
jayflo;1;5091;;;;
hasancansaral;2;5277;5102;;;
kyu999;1;5116;;;;
merritts;1;5127;;;;
phdowling;1;5179;;;;
garbas;2;5208;5197;;;
vstolbunov;1;5204;;;;
Clyde-fare;1;5260;;;;
terrytangyuan;1;5276;;;;
JohnBoersma;1;5345;;;;
sotlampr;2;5424;5366;;;
Fenugreek;1;5370;;;;
ndv;1;5381;;;;
trianta2;1;5391;;;;
black-puppydog;1;5393;;;;
Kornel;3;7688;5527;5470;;
edublancas;1;5471;;;;
adijo;1;5476;;;;
jpopham91;1;5521;;;;
rsteca;1;5599;;;;
pradyu1993;1;5642;;;;
Sentient07;5;6144;6089;5763;5743;5707
alvations;1;5748;;;;
mkurnikov;1;5780;;;;
aakashjain;1;5788;;;;
lazarillo;1;5835;;;;
scottandrews;1;5849;;;;
rohanp;1;5883;;;;
SmedbergM;1;5889;;;;
lynochka;1;5894;;;;
r0fls;1;5951;;;;
EricFalkenberg;1;5952;;;;
kshitij10496;1;5960;;;;
chiragnagpal;1;6008;;;;
ysk24ok;1;6009;;;;
Burney222;1;6011;;;;
statwonk;1;6020;;;;
lvrzhn;1;6028;;;;
pmochkovitch;1;6039;;;;
malzantot;1;6057;;;;
suhkrish;1;6061;;;;
doaa-altarawy;2;6093;6092;;;
samyhhu;1;6105;;;;
maciejgryka;1;6123;;;;
edwinENSAE;1;6155;;;;
jamiebull1;1;6159;;;;
RPGOne;4;6174;6171;6170;6167;
mannby;1;6194;;;;
jarfa;1;6206;;;;
webdrone;1;6222;;;;
NielsZeilemaker;1;6223;;;;
vatsg;1;6291;;;;
danielhomola;1;6312;;;;
nvdv;2;7229;6380;;;
galdreiman;1;6405;;;;
unautre;1;6449;;;;
philipgura;1;6504;;;;
philipperemy;1;6506;;;;
jinified;1;6536;;;;
lizsz;2;6562;6561;;;
floriangeigl;1;6563;;;;
andrewshir;1;6582;;;;
DSLituiev;1;6597;;;;
lifuhuang;1;6612;;;;
harishsati;1;6642;;;;
joshlk;1;6662;;;;
mikkelam;1;6678;;;;
wangtianqi1993;1;6680;;;;
EdwardBetts;1;6684;;;;
msoelch;1;6693;;;;
hongguangguo;2;6714;6704;;;
ercolanelli-leo;1;6710;;;;
vlad17;1;6720;;;;
tomtung;1;6741;;;;
AxeldeRomblay;1;6761;;;;
sagarkar10;1;6861;;;;
someuser89;1;6866;;;;
Chaitya62;1;6876;;;;
hangyao;1;6914;;;;
lucaskolstad;1;6916;;;;
ben519;1;6947;;;;
mtzl;1;6965;;;;
cvanwynsberghe;1;6991;;;;
chriskaschner;1;7010;;;;
adantra;1;7011;;;;
laegrim;1;7014;;;;
pambot;1;7022;;;;
eyc88;1;7026;;;;
fthomassy;1;7030;;;;
ministrike3;2;7036;7035;;;
indianajensen;2;7166;7158;;;
yl565;3;7484;7473;7159;;
lijingpeng;1;7223;;;;
farhadGithub;1;7232;;;;
Clearlove1992;1;7262;;;;
ronalddas;1;7312;;;;
anujgupta82;1;7344;;;;
ejc1;1;7417;;;;
acu192;1;7424;;;;
fwiffo;1;7446;;;;
anandjeyahar;1;7509;;;;
ryanpeach;1;7515;;;;
sietse;2;7583;7580;;;
Doppler010;1;7609;;;;
