filosganga;1;3;;;;;;;;;;;;;;;;;;;;;;;;;
bedla;1;7;;;;;;;;;;;;;;;;;;;;;;;;;
costin;2;11;9;;;;;;;;;;;;;;;;;;;;;;;;
twicksell;1;18;;;;;;;;;;;;;;;;;;;;;;;;;
lepirlouit;1;20;;;;;;;;;;;;;;;;;;;;;;;;;
ttddyy;8;1144;639;173;75;72;43;31;23;;;;;;;;;;;;;;;;;;
swachter;1;28;;;;;;;;;;;;;;;;;;;;;;;;;
scottfrederick;1;30;;;;;;;;;;;;;;;;;;;;;;;;;
marschall;26;1282;1281;1280;1206;1205;1204;1003;797;527;526;525;524;523;522;521;520;519;518;463;397;295;292;222;64;37;34
dmak;9;334;330;306;235;129;128;89;88;40;;;;;;;;;;;;;;;;;
mjkrumlauf;1;44;;;;;;;;;;;;;;;;;;;;;;;;;
jyothim;2;52;51;;;;;;;;;;;;;;;;;;;;;;;;
giovannidalloglio;4;219;201;80;54;;;;;;;;;;;;;;;;;;;;;;
Abdull;1;55;;;;;;;;;;;;;;;;;;;;;;;;;
tburch;1;56;;;;;;;;;;;;;;;;;;;;;;;;;
shred;1;60;;;;;;;;;;;;;;;;;;;;;;;;;
dukehoops;1;63;;;;;;;;;;;;;;;;;;;;;;;;;
lhotari;3;731;531;65;;;;;;;;;;;;;;;;;;;;;;;
Dridi;1;66;;;;;;;;;;;;;;;;;;;;;;;;;
djkieras;1;68;;;;;;;;;;;;;;;;;;;;;;;;;
allnightlong;1;70;;;;;;;;;;;;;;;;;;;;;;;;;
sgri;1;71;;;;;;;;;;;;;;;;;;;;;;;;;
movink;1;74;;;;;;;;;;;;;;;;;;;;;;;;;
davidthexton;1;78;;;;;;;;;;;;;;;;;;;;;;;;;
JanecekPetr;1;81;;;;;;;;;;;;;;;;;;;;;;;;;
rcrathore;1;82;;;;;;;;;;;;;;;;;;;;;;;;;
obecker;2;307;85;;;;;;;;;;;;;;;;;;;;;;;;
ianbrandt;1;90;;;;;;;;;;;;;;;;;;;;;;;;;
matsev;4;536;535;504;91;;;;;;;;;;;;;;;;;;;;;;
DavidBiesack;1;92;;;;;;;;;;;;;;;;;;;;;;;;;
maxcom;1;93;;;;;;;;;;;;;;;;;;;;;;;;;
tmeighen;2;130;96;;;;;;;;;;;;;;;;;;;;;;;;
jexp;1;100;;;;;;;;;;;;;;;;;;;;;;;;;
remast;1;102;;;;;;;;;;;;;;;;;;;;;;;;;
edalquist;3;165;164;103;;;;;;;;;;;;;;;;;;;;;;;
satyapalreddy;1;114;;;;;;;;;;;;;;;;;;;;;;;;;
jjYBdx4IL;1;119;;;;;;;;;;;;;;;;;;;;;;;;;
wkleu;2;127;126;;;;;;;;;;;;;;;;;;;;;;;;
billkoch;1;138;;;;;;;;;;;;;;;;;;;;;;;;;
isopov;1;145;;;;;;;;;;;;;;;;;;;;;;;;;
tempredirect;2;153;152;;;;;;;;;;;;;;;;;;;;;;;;
karlbennett;4;644;261;259;170;;;;;;;;;;;;;;;;;;;;;;
mdeinum;7;1140;1006;838;552;551;234;174;;;;;;;;;;;;;;;;;;;
ericweinberg;1;175;;;;;;;;;;;;;;;;;;;;;;;;;
EzequielB;3;179;178;177;;;;;;;;;;;;;;;;;;;;;;;
stuartgunter;1;180;;;;;;;;;;;;;;;;;;;;;;;;;
zhouzhonghua;2;264;182;;;;;;;;;;;;;;;;;;;;;;;;
zhengxiaochuan;1;193;;;;;;;;;;;;;;;;;;;;;;;;;
KingBuzzer;2;1115;196;;;;;;;;;;;;;;;;;;;;;;;;
habuma;1;204;;;;;;;;;;;;;;;;;;;;;;;;;
acogoluegnes;4;236;233;232;205;;;;;;;;;;;;;;;;;;;;;;
daveboden;3;217;211;206;;;;;;;;;;;;;;;;;;;;;;;
tommack;1;208;;;;;;;;;;;;;;;;;;;;;;;;;
bijukunjummen;11;1273;703;662;514;464;407;404;382;324;314;213;;;;;;;;;;;;;;;
eugenp;1;215;;;;;;;;;;;;;;;;;;;;;;;;;
alan125;1;216;;;;;;;;;;;;;;;;;;;;;;;;;
kdombeck;1;221;;;;;;;;;;;;;;;;;;;;;;;;;
magruschinske;1;223;;;;;;;;;;;;;;;;;;;;;;;;;
lemonzy;2;226;225;;;;;;;;;;;;;;;;;;;;;;;;
bill2004158;1;229;;;;;;;;;;;;;;;;;;;;;;;;;
avbentem;1;230;;;;;;;;;;;;;;;;;;;;;;;;;
wesleyhall;1;238;;;;;;;;;;;;;;;;;;;;;;;;;
staale;1;239;;;;;;;;;;;;;;;;;;;;;;;;;
nurkiewicz;2;837;241;;;;;;;;;;;;;;;;;;;;;;;;
jmnarloch;6;912;886;615;614;613;243;;;;;;;;;;;;;;;;;;;;
michail-nikolaev;1;246;;;;;;;;;;;;;;;;;;;;;;;;;
backslash47;1;248;;;;;;;;;;;;;;;;;;;;;;;;;
dharkness;2;260;252;;;;;;;;;;;;;;;;;;;;;;;;
yegorch;1;258;;;;;;;;;;;;;;;;;;;;;;;;;
martinlippert;2;819;263;;;;;;;;;;;;;;;;;;;;;;;;
nkukhar;1;265;;;;;;;;;;;;;;;;;;;;;;;;;
SimplyAmuthan;1;267;;;;;;;;;;;;;;;;;;;;;;;;;
josebarragan;1;268;;;;;;;;;;;;;;;;;;;;;;;;;
xuechong87;2;414;274;;;;;;;;;;;;;;;;;;;;;;;;
Zeouterlimits;1;278;;;;;;;;;;;;;;;;;;;;;;;;;
adriandoyle;1;280;;;;;;;;;;;;;;;;;;;;;;;;;
kdlan;1;284;;;;;;;;;;;;;;;;;;;;;;;;;
Fuud;2;294;290;;;;;;;;;;;;;;;;;;;;;;;;
deline;1;296;;;;;;;;;;;;;;;;;;;;;;;;;
beamerblvd;6;320;319;318;305;298;297;;;;;;;;;;;;;;;;;;;;
eric-vlaanderen;1;300;;;;;;;;;;;;;;;;;;;;;;;;;
onagano-rh;1;302;;;;;;;;;;;;;;;;;;;;;;;;;
antonio-marrero;1;304;;;;;;;;;;;;;;;;;;;;;;;;;
marcioj;1;310;;;;;;;;;;;;;;;;;;;;;;;;;
sfussenegger;2;313;311;;;;;;;;;;;;;;;;;;;;;;;;
panzhiqiu;1;316;;;;;;;;;;;;;;;;;;;;;;;;;
twhitmorenz;1;321;;;;;;;;;;;;;;;;;;;;;;;;;
Xaerxess;3;379;326;325;;;;;;;;;;;;;;;;;;;;;;;
lonre;1;328;;;;;;;;;;;;;;;;;;;;;;;;;
sleepred;1;329;;;;;;;;;;;;;;;;;;;;;;;;;
clemp6r;2;357;335;;;;;;;;;;;;;;;;;;;;;;;;
bparry02;1;337;;;;;;;;;;;;;;;;;;;;;;;;;
janm399;3;345;344;338;;;;;;;;;;;;;;;;;;;;;;;
GabiAxel;1;339;;;;;;;;;;;;;;;;;;;;;;;;;
raphw;1;340;;;;;;;;;;;;;;;;;;;;;;;;;
byungseok;1;342;;;;;;;;;;;;;;;;;;;;;;;;;
pbobruk;1;343;;;;;;;;;;;;;;;;;;;;;;;;;
sivaprasadvalluru;1;348;;;;;;;;;;;;;;;;;;;;;;;;;
vvictorlee;2;360;352;;;;;;;;;;;;;;;;;;;;;;;;
tan9;1;353;;;;;;;;;;;;;;;;;;;;;;;;;
nitinsha;1;356;;;;;;;;;;;;;;;;;;;;;;;;;
xiaofengchen;1;369;;;;;;;;;;;;;;;;;;;;;;;;;
freexiao;1;383;;;;;;;;;;;;;;;;;;;;;;;;;
wayshall;1;384;;;;;;;;;;;;;;;;;;;;;;;;;
candrews;12;861;860;854;829;653;630;629;532;479;478;477;385;;;;;;;;;;;;;;
artembilan;3;548;389;388;;;;;;;;;;;;;;;;;;;;;;;
chelu;3;398;391;390;;;;;;;;;;;;;;;;;;;;;;;
sxkolanupaka;1;394;;;;;;;;;;;;;;;;;;;;;;;;;
mezhou887;3;401;400;399;;;;;;;;;;;;;;;;;;;;;;;
guidomedina;2;454;405;;;;;;;;;;;;;;;;;;;;;;;;
cdupuis;1;409;;;;;;;;;;;;;;;;;;;;;;;;;
evpaassen;1;411;;;;;;;;;;;;;;;;;;;;;;;;;
samuelteixeiras;1;412;;;;;;;;;;;;;;;;;;;;;;;;;
bwzhang2011;1;413;;;;;;;;;;;;;;;;;;;;;;;;;
ericdahl;1;418;;;;;;;;;;;;;;;;;;;;;;;;;
lehoon;1;420;;;;;;;;;;;;;;;;;;;;;;;;;
purnimanagpal23;1;422;;;;;;;;;;;;;;;;;;;;;;;;;
md42;1;424;;;;;;;;;;;;;;;;;;;;;;;;;
fpavageau;1;425;;;;;;;;;;;;;;;;;;;;;;;;;
dannyarcher;1;426;;;;;;;;;;;;;;;;;;;;;;;;;
VasylTretiakov;5;558;430;429;428;427;;;;;;;;;;;;;;;;;;;;;
floresj;1;431;;;;;;;;;;;;;;;;;;;;;;;;;
snicoll;20;610;496;492;490;483;482;480;462;461;452;448;447;445;443;442;441;439;436;435;434;;;;;;
kkroner;1;438;;;;;;;;;;;;;;;;;;;;;;;;;
malkusch;2;1012;440;;;;;;;;;;;;;;;;;;;;;;;;
devashishmamgain;1;444;;;;;;;;;;;;;;;;;;;;;;;;;
ArloL;1;446;;;;;;;;;;;;;;;;;;;;;;;;;
robfrank;1;459;;;;;;;;;;;;;;;;;;;;;;;;;
zhangclong;1;460;;;;;;;;;;;;;;;;;;;;;;;;;
wjkiss000;1;465;;;;;;;;;;;;;;;;;;;;;;;;;
petrukhnov;1;469;;;;;;;;;;;;;;;;;;;;;;;;;
aweigold;1;473;;;;;;;;;;;;;;;;;;;;;;;;;
cbaldwin74;1;485;;;;;;;;;;;;;;;;;;;;;;;;;
cloudmark;1;487;;;;;;;;;;;;;;;;;;;;;;;;;
bturner;1;491;;;;;;;;;;;;;;;;;;;;;;;;;
antihate80;1;498;;;;;;;;;;;;;;;;;;;;;;;;;
roseyoung;1;500;;;;;;;;;;;;;;;;;;;;;;;;;
sakli1;1;501;;;;;;;;;;;;;;;;;;;;;;;;;
arey;1;502;;;;;;;;;;;;;;;;;;;;;;;;;
youngjee;2;608;506;;;;;;;;;;;;;;;;;;;;;;;;
mbknor;1;510;;;;;;;;;;;;;;;;;;;;;;;;;
HejiaHo;1;513;;;;;;;;;;;;;;;;;;;;;;;;;
MoonJongMin;3;676;517;515;;;;;;;;;;;;;;;;;;;;;;;
GrahamLea;1;516;;;;;;;;;;;;;;;;;;;;;;;;;
sorra;1;533;;;;;;;;;;;;;;;;;;;;;;;;;
Chexpir;1;534;;;;;;;;;;;;;;;;;;;;;;;;;
romansky;1;542;;;;;;;;;;;;;;;;;;;;;;;;;
maciejwalkowiak;1;543;;;;;;;;;;;;;;;;;;;;;;;;;
lihuiying;1;545;;;;;;;;;;;;;;;;;;;;;;;;;
jkschneider;1;549;;;;;;;;;;;;;;;;;;;;;;;;;
