Project;Total PR;Total Devs;Avg Submission;Mdn Comments;Mdn Review Comments;Mdn Commits;Mdn Added lines;Mdn Added lines;Mdn Changed Files
angular-js;4391;2762;1.59;3;0;1;2;1;1
bitcoin;371;293;1.27;4;0;1;12;3;1
bootstrap;2818;2162;1.3;2;0;1;1;1;1
caffe;293;233;1.26;1;0;2;25;3;2
d3;311;282;1.1;2;0;0;0;0;0
django;2959;1739;1.7;2;0;1;12;2;2
docker;872;707;1.23;4;0;1;4;1;1
flask;240;216;1.11;2;0;1;3;1;1
jenkins;229;187;1.22;3;0;1;8;1;1
joomla;909;482;1.89;3;0;1;3;1;1
jquery;917;648;1.42;3;0;1;2;1;1
kubernetes;447;349;1.28;8;0;1;7;1;1
laravel;991;740;1.34;1;0;1;1;0;1
mongo;689;338;2.04;1;0;1;8;2;1
opencv;350;275;1.27;2;0;1;12;1;1
rails;1671;1320;1.27;3;0;1;8;1;1
react;601;516;1.16;3;0;1;3;1;1
redis;333;268;1.24;1;0;1;4;1;1
scikit-learn;425;334;1.27;6;0;2;19;2;1
spring-framework;685;446;1.54;1;0;1;13;2;1
tensorflow;409;343;1.19;4;0;1;5;2;1
